Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,Mit seinem Bogen durchbohrte mich der Gott der Liebe,Mit seinem Bogen schlug mich die Gottheit der Liebe.
"Perch’i’ guardava un Fior,  che m’abellia,","Als ich mir eine Blume ansah, die ich mochte,","Als ich mir eine Blume ansah, die mich faszinierte."
Lo quale avea piantato Cortesia,der mit Höflichkeit gepflanzt hatte,Er hatte Freundlichkeit gepflanzt.
"Nel Giardin di Piacier, e que’ vi trasse",im Garten des Vergnügens. Die Liebe kam,Im Garten der Wonne ist die Zuneigung gekommen.
"Sì tosto, c’a me parve ch’e’ volasse.","so schnell, dass ich dachte, ich würde fliegen,","So schnell, dass es so aussah, als ob ich fliegen würde."
E’ disse: «I’ sì ti tengo in mia balia».,"Und er sagte: ""Ich habe dich in meiner Macht.""","Und er sagte: ""Ich habe dich unter meiner Kontrolle."""
"Allò gli piaque, non per voglia mia,","Und wie war sein Vergnügen und kein Wunsch von mir,","Also, wie war sein Genuss, und kein Wunsch von mir."
Ch’e’ di cinque saette mi piaghasse:,Er hat mich mit fünf Pfeilen verletzt.,Er hat mich mit fünf Pfeilen geschlagen.
"La prima à non' Bieltà, per li ochi il core","Die erste, die Schönheit genannt wird, für die Augen und das Herz","Die erste, ""Splendore"" genannt, für Augen und Herz."
"Mi passò; la seconda Angielicanza,","Er durchbohrte mich; der zweite Engel,","Er durchbohrte mich; die zweite, Angeliscia."
Quella mi mise sopra gran fredore;,Das gab mir eine bittere Kälte;,Das gab mir einen bitteren Frost.
"La terza, Cortesia,    fu san’ dottanza;",Die dritte war zweifellos Höflichkeit;,Die dritte ohne Zweifel war Freundlichkeit.
"La quarta Compagnia,    che fe’ dolore;","Die vierte, Kompanie, hat Schmerzen verursacht.","Die vierte, Gesellschaft, hat Leid verursacht."
La quinta apella l’uon Buona-Speranza.,"Die fünfte ist ""Frohe Hoffnung.""",Die fünfte heißt Optimistische Hoffnung.
Sentendomi ismagato malamente,Ich fühlte mich schlecht geleert,Ich fühlte mich energielos
"Del molto sangue, ch’io avea perduto,","von meinem Blut, das ich verloren hatte","von meinem Plasma, das ich zerstreut hatte"
E’ non sapea dove trovar aiuto.,"Und ich wusste nicht, wo ich Hilfe finden sollte,","Und ich wusste nicht, wo ich Hilfe suchen sollte."
Lo Dio d’Amor si venne a me presente,in einem Blitz war der Gott der Liebe,In einem Augenblick war der Göttliche des Leidens.
E dissemi: «Tu•ssai veramente,und sprach zu mir: Du weißt es wirklich,"""Und er sagte zu mir: ""Du bist wirklich gut informiert."""
Che•ttu mi sè intra•lle man caduto,daß du in meine Hände gefallen bist,Dass du in meinen Griffen gelandet bist
"Per le saette, di ch’i’ t’ò feruto,","Dank der Pfeile, mit denen ich dich verletzt habe;","Dank der Pfeile, mit denen ich dich geschlagen habe."
Sì ch’e’ convien che•ttu mi sie ubidente».,"Es ist gut, dass du gehorsam bist.",Du solltest gehorsam sein.
Ed i’ risposi: «I’ sì son tutto presto,"Und ich antwortete: ""Ich bin bereit","""Und ich sagte: ""Ich bin vorbereitet."""
"Di farvi pura e fina fedeltate,","um dir meine wahre und edle Loyalität zu geben,",um meine aufrichtige und edle Treue zu opfern.
Più ch’assesino a Vellio o a Dio il Presto».,"Major des Wächtermörders oder des Priesters vor Gott""",Obrigkeit des Mörders gegen den Alten oder des Priesters gegen Gott
"E quelli allor mi puose, in veritate,","Und sie stellten mich, wahrlich,",Die haben mich tatsächlich hingelegt.
"La sua bocha ala mia, sanz’altro aresto,","sein Mund zu meinem, ohne eine Pause",sein Mund zu meinem ohne Intervall
E disse: «Pensa di farmi lealtate».,"und sagte: ""Seid mir treu.","Und er erklärte: ""Seid mir gegenüber loyal."
Del mese di gienaio e non di magio,"Im Januar, und nicht im Mai,","im Winter, nicht im Frühling."
"Fu, quand’i’ presi Amor a signioria,","Das war er, als ich die Liebe nahm, um mein Herr zu sein.","Es war, als ich die Zuneigung wählte, um mein Herrscher zu sein."
"E ch’i’ mi misi al tutto in sua ballia,","Und ich machte mich ganz in die Hölle,",Und ich verließ mich völlig dem Schicksal.
"E saramento gli feci, e omaggio,",Und ich lobte ihn friedlich.,und friedlich die Tribute Respekt.
E per più sicurtà gli diedi in gaggio,Und als zusätzliche Garantie gab ich ihm Pfand,"Als zusätzliche Versicherung, die Sie in der Garantie"
"Il cor, ch’e’ non avesse gielosia","das Herz, das nicht eifersüchtig war","Das Herz, das nicht neidisch war"
"Ched i’ fedel e puro i’ no•gli sia,",um ihm nicht treu zu sein,nicht sich ihm anschließen
E senpre lui tener a Segniò•Maggio.,und halte ihn immer so fest wie meinen Herrn und Meister.,Und bewahre ihn immer als meinen Herrscher und Herrscher auf.
"Allor que’ prese il cor e disse: «Amico,","Dann nahm er mein Herz und sagte: ""Freund,","Kurz darauf nahm er mein Herz und sagte: ""Compagno."""
I’ son segnior assa’ forte a servire;,Ich bin ein sehr anspruchsvoller Herr zu dienen.,Ich bin ein sehr anspruchsvoller Gentleman.
"Ma chi mi serve, per cierto ti dico,","Aber wahrlich, ich sage euch: Der, der mir dient,","Ich sage euch, wer ich brauche."
"Ch’ala mia grazia non può già fallire,","Er wird nie versäumen, meine Gunst zu besiegen,","Er wird es nie versäumen, meine Wertschätzung zu gewinnen."
"E di buona speranza i’ ’l mi notrico,",Und ich will ihn mit guter Hoffnung ernähren.,Und ich will ihn mit Optimismus ernähren.
Infin ch’i’ gli fornischa su’ disire».,bis ich seinen Wunsch erfüllt habe.,Bis ich sein Verlangen erfüllt habe.
Con una chiave d’oro mi fermò il core,"Mit einem goldenen Schlüssel hat die Liebe mein Herz verschlossen,","Mit einem goldenen Schlüssel hat die Liebe mein Herz versiegelt,"
"L’Amor,    quando così m’ebe parlato,","Die Liebe, nachdem sie mit mir gesprochen hat,","Die Liebe, nachdem sie mich ausgesetzt hat,"
"Ma prima mente l’à nett’e parato,",aber vor allem hat er gereinigt und bereitet,Erstens hat er gereinigt und vorbereitet.
Sì c’ogni’altro pensier n’à pinto fore.,damit er alle anderen Gedanken verbannte.,damit er alle anderen Gedanken austreiben konnte.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Und er sprach zu mir: Wie ich dein Herr bin,","Dann sagte er zu mir: ""Denn ich bin dein Souverän."""
E tu sì sè di me fedel giurato.,Und du bist ein treuer Geschworener von mir,Du bist ein loyaler Zeuge für mich.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,"Jetzt stellen Sie sicher, dass Ihr Herz nicht beschäftigt ist","Stellen Sie sicher, dass Ihr Herz nicht beschäftigt ist."
Se non di fino e di leal amore.,mit nichts als edler und wahrer Liebe.,"mit einer Leidenschaft weit davon entfernt, edel und aufrichtig zu sein."
E pensa di portar in pacienza,"Und vergiss nicht, Geduld mitzubringen.","Denk dran, geduldig zu sein."
"La pena, che per me avra’ a sofrire,","den Schmerz, den du wegen mir erleiden wirst,","Die Strafe, die du wegen mir erleiden wirst."
"Inanzi ch’io ti doni mia sentenza,",Bevor ich dir mein Urteil gebe.,Bevor ich dir mein Urteil gebe.
Ché molte volte ti parrà morire:,"Dass du oft denkst, du stirbst.",Dass Sie oft vom Aussterben träumen.
"Un’ora gioia avrai, altra, doglienza.","Eine Stunde wirst du glücklich sein, eine weitere traurige Stunde,","In einem Moment wirst du glücklich sein, in einem anderen melancholischen."
Ma po’ i’ dono argomento di guerire».,"aber dann gebe ich euch ein Heilmittel, um zu heilen","Doch dann biete ich Ihnen ein Heilmittel an, um zu heilen."
Con grande umilitate e pacienza,Mit viel Demut und Geduld,Mit großer Demut und Ausharren
"Promisi a Amor a sofferir sua pena,","Ich versprach der Liebe, dass ich ihren Schmerz erleiden würde.","Ich versprach der Liebe, dass ich ihre Qual teilen würde."
"E c’ognie membro, ch’i’ avea, e vena","und dass alle meine Arme, die ich habe und vene","und dass alle meine Mitglieder, die ich habe und Arterie"
Disposat’era a farli sua voglienza;,"Sie waren bereit, seinen Willen zu tun.","Sie waren bereit, ihren Wunsch zu erfüllen."
E solo a lui servire la mia credenza,Und nur er wird meinen Glauben brauchen.,Nur ihm wird mein Glaube ergeben sein.
"È ferma, né di ciò mai nonn-alena,","Und er wird nie aufhören, das zu tun:","Und er wird nie aufhören, das zu tun."
"Insin ched i’ avrò spirito o lena,",Solange ich lebe und atme,Solange ich lebe und atme.
I’ non farò da•cciò giama’ partenza.,Ich werde mich nie von diesem Versprechen abwenden.,Ich werde mich nie von dieser Aussage distanzieren.
"E quelli allor mi disse: «Amico meo,","Und sie sprachen zu mir: Mein Freund,","Da sprach er zu mir: Mein Genosse,"
I’ ò da•tte miglior pegnio che charte.,Ihr Pfand ist besser als jedes schriftliche Versprechen:,Ihr Symbol ist höher als jede schriftliche Garantie.
"Fa che m’adori, ched i’ son tu’ Deo,","Tu, daß du mich anbetest, weil ich dein Gott bin;","Du sollst mich verehren, weil ich dein Göttlicher bin."
"Ed ogn’altra credenza    metti a parte,",und alle anderen Glaubensansichten beiseite zu legen:,"Alle anderen Glaubensansichten aufzugeben, zu verlassen."
"Né non creder né Lucha, né Matteo,","Glaube nicht Lukas oder Matthäus,",Vertraue Lukas oder Matthäus nicht.
"Né Marco, né Giovanni». Allor si parte.",Weder Markus noch Johannes. Und dann verschwindet er.,Weder Markus noch Johannes. Und dann ging er weg.
"Partes’Amor, su’ ale battendo,","Die Liebe beginnt mit einem Flügelschlag,",Die Liebe beginnt mit einem Flügelschlag.
"E ’n poca d’or sì forte isvanoio,",Und alsbald verschwand er so schnell,Und alsbald verschwand er.
"Ched i’  no ’l vidi poi, né no•ll’udio,",daß ich ihn weder gesehen noch gehört habe;,Ich habe ihn weder gesehen noch gehört.
E•llui e ’l su’ soccorso ancor atendo.,Aber ich warte immer noch auf ihn und seine Hilfe.,Doch ich warte immer noch auf ihn und seine Hilfe.
Allor mi venni forte ristrignendo,Dann kam ich immer näher.,Später kam ich immer näher.
"Verso del Fior, che•ssì forte m’ulio,","an der Blume, deren Duft mich verzauberte","In der Blume, deren Aroma mich verzauberte"
"E per chu’ feci homagio a questo Dio,",Und für die ich diesen Gott geehrt habe.,und denen ich diesem Gott ergeben war.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","Ich sagte: ""Wer hält mich davon ab, es zu zerreißen?","Ich fragte: ""Wer verbietet mir, es zu zerreißen?"""
"Sì ch’i’ verso del Fior tesi la mano,","Und so streckte ich meine Hand zur Blume aus,",Also probierst du deine Hand zur Blume.
"Credendolo  aver colto chitamente,","Ich dachte, ich könnte damit klarkommen.","Ich dachte, ich hätte es leicht."
Ed i’  vidi venir un gran villano,"Und ich sah einen großen, unhöflichen Mann kommen.","Ich sah, wie ein eindrucksvoller Mann kam."
Con una maza. E’ disse: «Or ti ste’ a mente,"mit einem Stock in der Hand, sagen: Jetzt denken Sie daran","Mit einem Stock in der Hand und sagt: ""Erinnere dich jetzt."
"Ch’i’  son lo Schifo, e sì son ortolano","daß ich der Widerstand bin, und daß ich der Hüter bin.","Ich bin der Widersacher der Freiheit, und ich bewahre die Souveränität."
D’esto giardin. I’  ti  farò dolente».,Ich habe ihn leiden lassen.,Ich habe ihr Leid verursacht.
Molto vilmente mi buttò di fora,Mit viel Unhöflichkeit hat er mich rausgeschmissen.,Er hat mich mit großem Geschick rausgeschmissen.
"Lo Schifo, crudo, fello e oltragioso,","die grausame, bösartige und gewalttätige Widerstand,","Dieser grausame, bösartige und brutale Widerstand."
"Sì ch’e’ del Fior non cred’esser gioioso,","so dass ich denke, dass ich nicht mit der Blume zu gefallen,","Damit ich denke, ich werde nicht zufrieden sein mit der Blume."
Se Pietate e Francheza no•ll’acora.,"Es sei denn, Barmherzigkeit und Ehrlichkeit gehen mit ihm.","Es sei denn, Mitleid und Ehrlichkeit gehen mit ihm."
"Ma prima, credo, converà ch’eo mora,","Aber bevor das passiert, glaube ich, werde ich sterben.","Bevor das passiert, werde ich wohl sterben."
Perché ’l me’ cor stà tanto doglioso,Denn mein Herz ist in so viel Schmerz,Da mein Herz in so viel Leid steckt.
"Di quel villan,  che stava là nascoso,","um des süßen Mannes willen, der sich daselbst versteckte.","Wegen des süßen Mannes, der sich dort versteckte."
Di chu’ non mi prendea guardia quell’ora.,und gegen die ich in diesem entscheidenden Moment keine Vorkehrungen getroffen habe.,und gegen die ich in diesem entscheidenden Moment keine Sicherheitsmaßnahmen getroffen habe.
Or m’à messo in pensero e in dottanza,Jetzt hat mich das beunruhigt und gefürchtet.,Jetzt hat mich das alarmiert und verängstigt.
"Di ciò, ched i’ credea aver per ciertano,","für das, was ich für sicher hielt.","Für das, was ich sicher wusste."
