Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,"Con su arco, el Dios del Amor me atravesó","Con su arco, la Deidad del Amor me impactó."
"Perch’i’ guardava un Fior,  che m’abellia,","Mientras veía una flor que me gustaba,",Mientras observaba una flor que me fascinaba.
Lo quale avea piantato Cortesia,El cual había plantado gentileza,El cual había plantado gentileza.
"Nel Giardin di Piacier, e que’ vi trasse",en el jardín del placer. El amor ha venido,"En el jardín de la Delicia, el afecto ha llegado."
"Sì tosto, c’a me parve ch’e’ volasse.","Tan rápido que me pareció volar,",Tan rápido que parecía volar.
E’ disse: «I’ sì ti tengo in mia balia».,"Y dijo: ""Te tengo en mi poder.""","Y dijo: ""Te tengo bajo mi control."""
"Allò gli piaque, non per voglia mia,","Entonces, ¿cómo fue su placer, y ningún deseo mío,","Así que, ¿cómo fue su disfrute, y ninguna de mis aspiraciones."
Ch’e’ di cinque saette mi piaghasse:,Me hirió con cinco flechas.,Me golpeó con cinco dardos.
"La prima à non' Bieltà, per li ochi il core","La primera, llamada Belleza, para los ojos y el corazón","La primera, llamada Esplendor, para los ojos y el corazón."
"Mi passò; la seconda Angielicanza,","Me atravesó; la segunda, Angeliganza,","Me perforó; la segunda, Angeliganza."
Quella mi mise sopra gran fredore;,Ella me dio un frío amargo;,Esa chica me dio un helado amargo.
"La terza, Cortesia,    fu san’ dottanza;","La tercera fue, sin duda, cortesía.","La tercera, sin duda alguna, fue gentileza."
"La quarta Compagnia,    che fe’ dolore;","la cuarta, Compañía, ha causado dolor;","La cuarta, Sociedad, ha causado sufrimiento."
La quinta apella l’uon Buona-Speranza.,La quinta se llama Buena Esperanza.,La quinta se llama Esperanza Optimista.
Sentendomi ismagato malamente,Escuchándome vaciar mal,Sentirme sin energía
"Del molto sangue, ch’io avea perduto,",de mi sangre que yo había perdido,de mi plasma que yo había disipado
E’ non sapea dove trovar aiuto.,"Y no sabía dónde encontrar ayuda,",Y no sabía dónde buscar ayuda.
Lo Dio d’Amor si venne a me presente,En un instante estaba el Dios del Amor,En un instante estaba el Divino del Afecto.
E dissemi: «Tu•ssai veramente,Y me dijo: --De veras sabes,"""Y me dijo: ""Estás muy bien informado."""
Che•ttu mi sè intra•lle man caduto,Que caíste en mis manos,que te has metido en mis garras
"Per le saette, di ch’i’ t’ò feruto,",gracias a las flechas con las que te he herido;,Gracias a los dardos con los que te golpeé.
Sì ch’e’ convien che•ttu mi sie ubidente».,Es conveniente que seas obediente.,Es bueno que seas obediente.
Ed i’ risposi: «I’ sì son tutto presto,"Y yo dije: ""Yo estoy listo.","""Y yo dije: ""Yo estoy preparado"""
"Di farvi pura e fina fedeltate,","para darte mi verdadera y noble lealtad,",para ofrecer mi honesta y noble fidelidad.
Più ch’assesino a Vellio o a Dio il Presto».,"Mayor del asesino en el Velio o del sacerdote a Dios""",superior del asesino al Viejo o del Sacerdote a Dios
"E quelli allor mi puose, in veritate,","Y ellos, en verdad, me pusieron","Aquellos, de hecho, me pusieron"
"La sua bocha ala mia, sanz’altro aresto,","Su boca a la mía, sin un descanso",su boca a la mía sin un intervalo
E disse: «Pensa di farmi lealtate».,"Y dijo: ""Sean fieles a mí.","Y declaró: ""Sean leales a mí."
Del mese di gienaio e non di magio,"En enero, y no en mayo,","durante el invierno, no en la primavera."
"Fu, quand’i’ presi Amor a signioria,","Lo era, cuando tomé el amor para ser mi señor.",Fue cuando elegí el amor para ser mi gobernante.
"E ch’i’ mi misi al tutto in sua ballia,","y me puse completamente a merced de ella,",Y me abandoné por completo a la suerte.
"E saramento gli feci, e omaggio,",Y serenamente le rindí homenaje.,y pacíficamente le retribuí respeto.
E per più sicurtà gli diedi in gaggio,"Y como garantía adicional, le di en prenda","Como seguro adicional, le di en garantía"
"Il cor, ch’e’ non avesse gielosia","el corazón, que no estuviera celoso","El corazón, que no fuera envidioso"
"Ched i’ fedel e puro i’ no•gli sia,",para no ser fiel a él,No te aferres a él
E senpre lui tener a Segniò•Maggio.,Y que lo retenga siempre como mi señor y amo.,y guárdelo siempre como mi gobernante y gobernante.
"Allor que’ prese il cor e disse: «Amico,","Luego tomó mi corazón y dijo: ""Amigo,","Poco después tomó mi corazón y declaró: ""Compañero."""
I’ son segnior assa’ forte a servire;,Soy un caballero muy exigente para servir.,Soy un caballero muy exigente.
"Ma chi mi serve, per cierto ti dico,",Pero de cierto os digo que el que me sirve,"De hecho, les digo quién lo necesito."
"Ch’ala mia grazia non può già fallire,","nunca dejará de ganar mi favor,",Nunca dejará de ganarse mi aprecio.
"E di buona speranza i’ ’l mi notrico,",Y lo alimentaré de buena esperanza,Y lo alimentaré de optimismo
Infin ch’i’ gli fornischa su’ disire».,Hasta que cumpla su deseo.,Hasta que haya satisfecho su anhelo.
Con una chiave d’oro mi fermò il core,"Con una llave de oro, el amor me cerró el corazón.","Con una llave de oro, el amor selló mi corazón,"
"L’Amor,    quando così m’ebe parlato,","El amor, después de hablar conmigo,","El amor, después de exponerme,"
"Ma prima mente l’à nett’e parato,","Pero primero, purificó y preparó","En primer lugar, ha purgado y predispuesto."
Sì c’ogni’altro pensier n’à pinto fore.,para que expulsara cualquier otro pensamiento.,para que exorcizara cualquier otro pensamiento.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Entonces me dijo: ""Como yo soy tu Señor,","Luego me dijo: ""Porque yo soy tu Soberano."""
E tu sì sè di me fedel giurato.,Y tú eres de mí un fiel jurado.,Eres un testigo leal para mí.
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Ahora asegúrate de que tu corazón no esté ocupado.,Asegúrate de que tu corazón no esté ocupado.
Se non di fino e di leal amore.,con todo menos noble y verdadero amor.,con una pasión muy alejada de ser noble y sincera.
E pensa di portar in pacienza,Y asegúrate de tener paciencia.,Recuerda ser paciente.
"La pena, che per me avra’ a sofrire,","la pena que sufrirás por mi culpa,",El castigo que sufrirás por mi culpa.
"Inanzi ch’io ti doni mia sentenza,",Antes de que te dé mi veredicto.,Antes de que te de mi sentencia.
Ché molte volte ti parrà morire:,Que muchas veces piensas que vas a morir:,Que muchas veces sueñas con la extinción.
"Un’ora gioia avrai, altra, doglienza.","Una hora serás feliz, otra triste,","En un momento estarás contento, en otro melancólico."
Ma po’ i’ dono argomento di guerire».,Pero luego os doy un remedio para sanar,"Sin embargo, entonces os ofrezco una cura para sanar."
Con grande umilitate e pacienza,Con mucha humildad y paciencia,Con gran humildad y aguante
"Promisi a Amor a sofferir sua pena,",Le prometí a Amor que sufriría su dolor,Le prometí a Amor que compartiría su tormento
"E c’ognie membro, ch’i’ avea, e vena",y que cada miembro que tengo y vena,"y que cada uno de mis miembros, que yo tengo y arteria"
Disposat’era a farli sua voglienza;,Estaban listos para hacer su voluntad.,Estaban listas para cumplir su deseo.
E solo a lui servire la mia credenza,Y sólo a él le servirá mi credo.,Sólo a él mi fe será devota.
"È ferma, né di ciò mai nonn-alena,",y nunca dejará de hacerlo:,Y nunca dejará de hacerlo.
"Insin ched i’ avrò spirito o lena,",Mientras viva y respire.,Mientras exista y respire.
I’ non farò da•cciò giama’ partenza.,Nunca me alejaré de esa promesa.,Nunca me apartaré de esta declaración.
"E quelli allor mi disse: «Amico meo,","Y me dijo: Amigo mío,","Entonces me dijo: Camarada mío,"
I’ ò da•tte miglior pegnio che charte.,tu prenda es mejor que cualquier promesa escrita:,Su símbolo es superior a cualquier garantía escrita.
"Fa che m’adori, ched i’ son tu’ Deo,","Hazme adorar, porque yo soy tu Dios.",Haz que me adoras porque yo soy tu divino.
"Ed ogn’altra credenza    metti a parte,",y dejar a un lado cualquier otra fe:,"Renunciar, abandonar, cualquier otra creencia."
"Né non creder né Lucha, né Matteo,","no creas en Lucas o en Mateo,",No confíes en Luca o en Mateo.
"Né Marco, né Giovanni». Allor si parte.","Ni a Marcos, ni a Juan, y luego se va.","Ni a Marcos, ni a Juan, y luego se parte."
"Partes’Amor, su’ ale battendo,","El amor comienza con un latido de alas,",El amor comienza con un latido de alas.
"E ’n poca d’or sì forte isvanoio,",Y en un instante desapareció tan rápido.,Y en un instante se desvaneció rápidamente.
"Ched i’  no ’l vidi poi, né no•ll’udio,",que no lo he visto ni oído nunca más;,No lo he visto ni oído nunca más.
E•llui e ’l su’ soccorso ancor atendo.,Pero sigo esperando por él y su ayuda.,"Sin embargo, todavía le espero a él y su ayuda."
Allor mi venni forte ristrignendo,Luego me acerqué más y más.,Más tarde me acerqué más y más.
"Verso del Fior, che•ssì forte m’ulio,",a la Flor cuyo perfume me encantó,En la Flor cuyo aroma me encantó
"E per chu’ feci homagio a questo Dio,",y por los cuales hice homenaje a este dios.,y por los cuales hice devoción a este dios.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»",Dije: ¿Quién me impide arrancarlo?,Pregunté: ¿Quién me prohíbe arrancarlo?
"Sì ch’i’ verso del Fior tesi la mano,","Así que expliqué mi mano hacia la Flor,",Así que pon tu mano en la flor.
"Credendolo  aver colto chitamente,",Pensé que podría arreglármelas libremente.,Pensé que podría arreglármelas fácilmente.
Ed i’  vidi venir un gran villano,Y vi venir a un hombre grande y grosero.,Vi venir a un hombre imponente y brusco.
Con una maza. E’ disse: «Or ti ste’ a mente,"con el palo en la mano, diciendo: Ahora ten en cuenta","Con un palo en la mano, afirmando: Recuerda ahora."
"Ch’i’  son lo Schifo, e sì son ortolano","que yo soy la Resistencia, y que soy el guardián","Soy el adversario de la libertad, y guardo la soberanía."
D’esto giardin. I’  ti  farò dolente».,Lo he hecho sufrir.,He causado su sufrimiento.
Molto vilmente mi buttò di fora,"Con mucha descortesía me echó,",Con gran rudeza me echó.
"Lo Schifo, crudo, fello e oltragioso,","la cruel, viciosa y violenta Resistencia,","la despiadada, malvada y brutal Resistencia."
"Sì ch’e’ del Fior non cred’esser gioioso,","por lo que creo que no voy a disfrutar con la Flor,",Por lo que creo que no voy a obtener satisfacción de la Flor.
Se Pietate e Francheza no•ll’acora.,A menos que la misericordia y la sinceridad se vayan con él.,A menos que la Compasión y la Honestidad se vayan con él.
"Ma prima, credo, converà ch’eo mora,","Pero antes de que eso pase, creo que voy a morir.","Antes de que ocurra, creo que voy a morir."
Perché ’l me’ cor stà tanto doglioso,ya que mi corazón es en tanto dolor,Ya que mi corazón está en tanto sufrimiento.
"Di quel villan,  che stava là nascoso,","Por culpa de ese hombre cursi, que se escondía allí.","A causa de ese hombre cursi, que se ocultaba allí."
Di chu’ non mi prendea guardia quell’ora.,y contra los que no tomé ninguna precaución en ese momento crucial.,y contra los que no tomé ninguna medida de seguridad en ese momento decisivo.
Or m’à messo in pensero e in dottanza,"Ahora eso me ha hecho preocupar y temer,",Ahora esto me ha alarmado y me ha asustado.
"Di ciò, ched i’ credea aver per ciertano,",Por lo que pensé que tenía por seguro.,Por lo que pensé que sabía con certeza.
