Original,Translate,Translate_GPT_1
Lo Dio d’Amor   con su’ arco mi trasse,"Par son arc, le Dieu de l'Amour m'a transpercé.","Avec son arc, la Déité de l'Amour m'a frappé."
"Perch’i’ guardava un Fior,  che m’abellia,","pendant que je regardais une fleur que j'aimais bien,",Pendant que je regardais une fleur qui me fascinait.
Lo quale avea piantato Cortesia,qui avait planté de l'aimableté,Qui avait planté la gentillesse.
"Nel Giardin di Piacier, e que’ vi trasse",dans le jardin du Plaisir. L'amour est venu,"Dans le jardin du délice, l'affection est arrivée."
"Sì tosto, c’a me parve ch’e’ volasse.","si vite qu'il semblait voler,",si vite qu'il m'a semblé voler.
E’ disse: «I’ sì ti tengo in mia balia».,"Et il dit: ""Je t'ai en mon pouvoir.""","et dit: ""Je t'ai sous mon contrôle."""
"Allò gli piaque, non per voglia mia,","Puis quel fut son plaisir, et aucun de mes désirs,","Donc, comme c'était sa jouissance, et aucune de mes aspirations."
Ch’e’ di cinque saette mi piaghasse:,Il m'a blessé avec cinq flèches.,Il m'a frappé avec cinq fléchettes.
"La prima à non' Bieltà, per li ochi il core","La première, appelée Beauté, pour les yeux et le cœur","La première, appelée Splendor, pour les yeux et le cœur."
"Mi passò; la seconda Angielicanza,","il m'a transpercé; la seconde, Angélation,","Il me perfusa; la seconde, Angélation."
Quella mi mise sopra gran fredore;,Ça m'a donné un froid d'amertume.,Ça m'a donné un froid d'amertume.
"La terza, Cortesia,    fu san’ dottanza;",La troisième a sans aucun doute été aimable;,La troisième était sans aucun doute la gentillesse.
"La quarta Compagnia,    che fe’ dolore;","la quatrième, Compagnie, a causé la douleur;","La quatrième, Société, a causé des souffrances."
La quinta apella l’uon Buona-Speranza.,La cinquième s'appelle Bonne Espérance.,La cinquième s'appelle Espérance Optimiste.
Sentendomi ismagato malamente,En me sentant mal vidé,J'ai l'impression de ne plus avoir d'énergie.
"Del molto sangue, ch’io avea perduto,",de mon sang que j'avais perdu,de mon plasma que j'avais dissimulé
E’ non sapea dove trovar aiuto.,"et je ne savais pas où trouver de l'aide,",Je ne savais pas où chercher de l'aide.
Lo Dio d’Amor si venne a me presente,en un éclair il y avait le Dieu de l'Amour,"En un instant, il y avait le Divin de l'Affectation."
E dissemi: «Tu•ssai veramente,et il me dit: Tu sais vraiment,"""Et il m'a dit: ""Tu es très bien informé."""
Che•ttu mi sè intra•lle man caduto,que tu es tombé entre mes mains,Que tu as fini dans mes griffes
"Per le saette, di ch’i’ t’ò feruto,",grâce aux flèches avec lesquelles je t'ai blessé;,Grâce aux fléchettes avec lesquelles je t'ai frappé.
Sì ch’e’ convien che•ttu mi sie ubidente».,C'est pratique que tu sois obéissant.,Tu devrais être obéissant.
Ed i’ risposi: «I’ sì son tutto presto,"Et j'ai répondu: ""Je suis prêt.","""Et j'ai répondu: ""Je suis préparé."""
"Di farvi pura e fina fedeltate,","pour te donner ma vraie et noble loyauté,",pour offrir ma fidélité sincère et noble.
Più ch’assesino a Vellio o a Dio il Presto».,"aîné de l'assassin au Vieux ou du Prêtre à Dieu""",supérieur du meurtrier à l'Ancien ou du Prêtre à Dieu
"E quelli allor mi puose, in veritate,","Et en vérité, ils m'ont posé.","En fait, ils m'ont posé."
"La sua bocha ala mia, sanz’altro aresto,","sa bouche à la mienne, sans une pause",sa bouche à la mienne sans un intervalle
E disse: «Pensa di farmi lealtate».,"Et il dit: ""Soyez fidèles à moi.","Et il déclara: ""Soyez fidèles à moi."
Del mese di gienaio e non di magio,"En janvier, et pas en mai,","pendant l'hiver, pas au printemps."
"Fu, quand’i’ presi Amor a signioria,",Ça l'était quand j'ai pris l'amour pour être mon seigneur.,"C'était, quand j'ai choisi l'affection pour être mon souverain."
"E ch’i’ mi misi al tutto in sua ballia,","et je me suis mis complètement à la merci,",et je me suis complètement abandonné au sort.
"E saramento gli feci, e omaggio,",Et je lui ai rendu hommage en toute sérénité.,et paisiblement je lui rendis respect.
E per più sicurtà gli diedi in gaggio,"Et comme garantie supplémentaire, je lui ai donné en gage","Comme assurance supplémentaire, je lui ai donné en garantie"
