Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","À peu près la moitié de mon existence, je me trouvai dispersé dans un bois sombre, car j'avais perdu la bonne voie."
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"Il y avait une forêt terrible, inextricable et sauvage au point que même l'idée d'être à l'intérieur fait peur."
  Tant’è amara che poco è più morte,"C'est tellement effrayant que la mort est presque rien, mais pour décrire le bien que j'ai trouvé à l'intérieur, je peux parler d'autres choses que je vous ai vues."
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte",Je n'avais pas le temps de décrire comment il est entré. J'étais tellement endormi quand j'ai pris la bonne voie.
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","Après avoir atteint les pieds d'une colline, à la fin de la vallée qu'il avait suscitée en moi crainte et tristesse, je levai les yeux et j'eus la vision de son sommet éclairée par la lumière du soleil, m'indiquant la bonne voie à suivre."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","Cette nuit-là, j'ai eu une profonde anxiété que j'avais sentie dans mon cœur, mais la peur s'est un peu apaisée."
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","Similaire au naufrage jeté sur le rivage, qui observe avec impatience les eaux orageuses d'où il a été sauvé, je regardai moi aussi la terrible voie qui ne laissait transparaître aucune fuite de salut."
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","Après la courte pause que j'avais accordée à mon corps fatigué, je me suis mis à monter la pente déserte de la colline, en mettant toujours le pied plus ferme sur le sol plus bas."
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","Placée sur la pente qui précédait le début de la montée, une longe mince et claquante couverte d'un manteau de poil maculé se profila à l'horizon."
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","Il ne se retirait pas quand j'arrivais à sa présence. Au contraire, il me fermait le passage tellement de fois que je pensais sérieusement faire marche arrière."
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","qui sont la vie.Dans les premières heures du matin, avec le soleil qui se levait avec cette constellation de la Création, l'amour divin commença à bouger les beautés de la vie."
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle",La luminosité du soleil et les fleurs fleuries au printemps donnaient des budgets motivés sur le magnifique tigre à taches.
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,"Cependant, malgré tout, je me suis senti effrayé devant la vision soudaine d'un lion en colère."
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"Cet individu se dirigeait vers moi, avec un air ferme et furieux, au point de faire croire que même l'atmosphère tremblait."
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","Une louve se profila à l'horizon, maigre comme le désir et enterrant par sa présence la pauvreté de beaucoup."
