Original,Translate
"Nel mezzo del cammin di nostra vita mi ritrovai per una selva oscura, ché la diritta via era smarrita","Au milieu du chemin de la vie humaine, je me trouvai dans une forêt sombre, car j'avais perdu le bon chemin."
 Ahi quanto a dir qual era è cosa dura esta selva selvaggia e aspra e forte che nel pensier rinova la paura,"Hélas, il est difficile de décrire à quoi ressemblait cette forêt, sauvage, inextricable et redoutable, telle qu'à la seule pensée, la peur revient à nouveau."
  Tant’è amara che poco è più morte,"C'est si effrayant que la mort l'est un peu plus: mais pour décrire le bien que j'y ai trouvé, je dirai ce que j'ai vu d'autre en elle."
" ma per trattar del ben ch’i’ vi trovai, dirò de l’altre cose ch’i’ v’ ho scorte","Je ne suis pas en mesure d'expliquer comment il y est entré, tant j'étais endormi au moment où j'ai quitté la bonne voie."
"  Io non so ben ridir com’i’ v’intrai, tant’era pien di sonno a quel punto che la verace via abbandonai","Mais après que je fus arrivé au pied d'une colline, là où finissait cette vallée qui avait affligé mon cœur de peur, je levai les yeux et je vis son sommet déjà éclairé par les rayons du soleil, qui conduit chaque homme sur la bonne voie."
"  Ma poi ch’i’ fui al piè d’un colle giunto, là dove terminava quella valle che m’avea di paura il cor compunto,  guardai in alto e vidi le sue spalle vestite già de’ raggi del pianeta che mena dritto altrui per ogne calle","Alors s'apaisant un peu de la peur que j'avais au fond du cœur, cette nuit-là, que je passais avec tant d'angoisse."
"  Allor fu la paura un poco queta, che nel lago del cor m’era durata la notte ch’i’ passai con tanta pieta","De même que le naufrage qui, en respirant, s'étant jeté de la mer sur le rivage, se tourna et regarda les eaux dangereuses d'où il s'est échappé, de même mon âme, qui était encore en fuite, se retourna pour observer le passage qui ne laissa jamais passer vivant aucun homme."
"  E come quei che con lena affannata, uscito fuor del pelago a la riva, si volge a l’acqua perigliosa e guata,  così l’animo mio, ch’ancor fuggiva, si volse a retro a rimirar lo passo che non lasciò già mai persona viva","Après que j'ai eu un peu reposé le corps fatigué, j'ai recommencé à marcher le long de la pente déserte de la colline, de sorte que le pied le plus ferme était toujours le plus bas."
"  Poi ch’èi posato un poco il corpo lasso, ripresi via per la piaggia diserta, sì che ’l piè fermo sempre era ’l più basso","Et voici qu'apparut, presque au début de la montée, une longe mince et très agile, recouverte de poil maculé."
"  Ed ecco, quasi al cominciar de l'erta, una lonza leggera e presta molto, che di pel macolato era coverta","Et il ne s'éloignait pas devant moi, et il empêchait à tel point mon chemin que je pensais à plusieurs reprises revenir en arrière."
"  e non mi si partia dinanzi al volto, anzi ’mpediva tanto il mio cammino, ch’i’ fui per ritornar più volte vòlto","C'était les premières heures du matin, et le soleil se levait avec cette constellation qui était avec lui le jour de la Création, quand l'amour divin a fait pour la première fois ces belles choses."
" Temp’era dal principio del mattino, e ’l sol montava ’n sù con quelle stelle ch’eran con lui quando l’amor divino  mosse di prima quelle cose belle",ainsi l'heure du jour et la saison du printemps me donnaient de bonnes raisons d'espérer à propos de cette bête à la peau pâle
 sì ch’a bene sperar m’era cagione di quella fiera a la gaetta pelle  l’ora del tempo e la dolce stagione,"Mais ce n'est pas au point qu'il ne m'effraya pas la vue, qui m'apparut juste après, d'un lion."
 ma non sì che paura non mi desse la vista che m'apparve d'un leone,"Celui-ci semblait venir contre moi, avec la tête haute et la faim enragée, au point que même l'air semblait trembler"
"  Questi parea che contra me venisse con la test’alta e con rabbiosa fame, sì che parea che l’aere ne tremesse","Et voici, un loup apparaît, qui, dans sa maigreur, semble rempli de tous les désirs et a poussé beaucoup de gens à vivre misérablement."
"  Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame,  questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza","Cela m'a causé une telle angoisse, avec la terreur qui m'inspirait son aspect, que j'ai perdu l'espoir d'atteindre le sommet de la colline."
"  E qual è quei che volontieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti suoi pensier piange e s’attrista","Et comme celui qui achète volontiers, et qu'arrive le temps où il perd tout, pour lequel il pleure et s'attriste dans toutes les pensées, il me rendit la bête sans paix, et, venant contre moi, il me poussait peu à peu vers le bas, où il n'y avait pas de soleil."
"  tal mi fece la bestia sanza pace, che, venendomi ’ncontro, a poco a poco mi ripigneva là dove ’l sol tace","Pendant que je glissais vers la vallée, vers la forêt, il apparut devant mes yeux quelqu'un que je ne voyais pas bien dans la pénombre."
"  Mentre ch’i’ rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco","Quand je vis cet homme dans le désert, je lui criai: Aie pitié de moi, qui que tu sois, une âme ou un homme en chair et en os."
"  Quando vidi costui nel gran diserto, ""Miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo","Il me répondit: Non, je ne suis pas un homme, je l'ai déjà été, et mes parents furent de Lombardie, tous deux nés de Mantoue."
"  Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui","Je suis né sous le gouvernement de Jules César, bien que ces dernières années, et j'ai vécu à Rome sous le gouvernement du bon empereur Auguste, au temps des dieux païens."
"  Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto nel tempo de li dèi falsi e bugiardi","Je fus poète, et je chantai de ce juste fils d'Anchoise qui s'enfuit de Troie après que l'orgueilleux Ilius eut été brûlé."
"  Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia, poi che ’l superbo Ilïón fu combusto","Mais toi, pourquoi retournes-tu au mal de la forêt? Pourquoi n'escalades-tu pas la colline joyeuse, qui est commencement et cause de tout bonheur?"
"  Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?""",Alors es-tu ce Virgile et cette source qui répand un si grand fleuve de paroles?
"  ""Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos’io lui con vergognosa fronte","Ô toi qui es lumière et guide des autres poètes, aide-moi le long engagement et le grand amour qui m'ont poussé à lire ton œuvre."
"  ""O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ ha fatto cercar lo tuo volume",Tu es mon maître et mon modèle.
"  Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ ha fatto onore",Tu es le seul dont j'ai tiré le beau style qui m'a rendu célèbre.
  Vedi la bestia per cu’ io mi volsi,Voyez la bête qui m'a fait tourner.
" aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi""","Aidez-moi d'elle, célèbre sage, Car elle fait trembler chaque goutte de mon sang."
"  ""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo’ campar d’esto loco selvaggio","Tu dois faire un autre voyage, et il me répondit après m'avoir vu pleurer, si tu veux te sauver de ce lieu sauvage."
"  ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide","En fait, la bête qui te fait crier ne laisse personne passer son chemin, mais elle l'empêche au point de le tuer."
"  e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria","Et il a un caractère si mauvais et si mauvais qu'il ne peut jamais satisfaire son désir, et après chaque repas il a plus faim qu'avant."
"  Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia","Il y a beaucoup d'animaux qui s'accouplent, et ils seront de plus en plus nombreux, jusqu'à ce que le chien de chasse arrive et la fasse mourir avec douleur."
"  Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro","Il ne s'occupera pas des richesses matérielles, mais seulement des richesses spirituelles, et sa naissance se fera entre feutre et feutre."
"  Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute","Ce sera le salut de cette humble Italie, pour laquelle ils moururent au combat Éurial et Niso, Turno, la vierge Camilla."
"  Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde ’nvidia prima dipartilla","Il la chassera pour chaque ville, jusqu'à ce qu'elle la remette dans l'enfer, d'où l'envie la fit sortir pour la première fois."
"  Ond’io per lo tuo me’ penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno","C'est pourquoi je pense et juge pour ton bien que tu dois me suivre, et je te guiderai, et je t'emmènerai loin d'ici pour te conduire dans un lieu de l'Outre-Marche,"
"  ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida","où tu entendras les cris désespérés, et tu verras les âmes antiques des damnés, dont chacun invoque la mort définitive."
"  e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti","Et puis vous verrez ceux qui sont heureux de souffrir, parce qu'ils espèrent un jour atteindre les bienheureux du Paradis"
"  A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire","Et si tu veux monter et visiter ces derniers, alors il y aura une âme plus digne que moi pour te guider: quand je partirai, je te quitterai avec elle."
"  ché quello imperador che là sù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna","Car cet empereur qui règne là-haut ne veut pas que j'entre dans sa ville, car j'ai été rebelle à sa loi."
  In tutte parti impera e quivi regge,Dieu a autorité dans tout l'univers et dans le Paradis règne
 quivi è la sua città e l’alto seggio: oh felice colui cu’ ivi elegge,Voici sa ville et son autre trône: Oh! heureux celui qui choisit pour résider dans ce lieu!
"  E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch’io fugga questo male e peggio,  che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color cui tu fai cotanto mesti""","Je lui dis: Poète, au nom de ce Dieu que tu n'as pas connu, et pour que je fuie ce mal et d'autres pires, je te demande de m'emmener là où tu as dit, afin que je voie la porte de saint Pierre et ceux que tu décris tant de miséricordes."
"  Allor si mosse, e io li tenni dietro","Alors il s'est mis en route, et je l'ai suivi."
