Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La force de Celui qui donne du mouvement à toutes choses s'étend dans tout le cosmos et brille plus lumineusement dans certaines parties, moins dans d'autres."
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Mon expérience dans le Ciel, où la lumière est beaucoup plus intense, m'a permis de voir des choses que quiconque n'a pas été plongé dans sa grandeur ne saurait décrire."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","En se rapprochant du rêve auquel notre esprit aspirait, il plongeait si profondément que même la mémoire ne pouvait l'accompagner."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto",L'objet de ma chanson sera ce qui me reste gravé dans la mémoire du saint royaume.
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","Oh, bien-aimé Apollo, donne-moi l'inspiration nécessaire pour terminer la dernière chanson pour pouvoir mériter ta divine couronne poétique."
 Infino a qui l’un giogo di Parnaso assai mi fu,"Jusqu'à présent, un seul versant du mont Parnaso m'a suffi."
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,"Avec l'assistance mutuelle, je dois maintenant m'efforcer d'achever le travail qui reste."
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Il souffle dans mon âme, comme un vent qui libère Marsia de ses limites."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Oh grand pouvoir, si tu me donnes assez de pouvoir pour me permettre de tracer dans mon esprit une image du royaume des élus,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno",Je me présenterai aux pieds de ton chêne bienheureux et porterai ses rameaux fronces dont moi et le thème élevé du poème sommes assez dignes.
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Il faut rarement, père, pour un chef ou un poète d'être récompensé du triomphe avec laurier."
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","Quand quelqu'un la désire, les branches de Penée devraient susciter la joie dans l'heureuse divinité de Delphes."
 Poca favilla gran fiamma seconda,Une petite étincelle précède une flamme imposante.
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"D'autres, avec des voix plus fortes que moi, demanderont à Cyrrhe d'accepter leurs prières."
 Surge ai mortali per diverse foci la lucerna del mondo,"De différents points de l'horizon, la lumière du monde se répand parmi les humains."
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","Il naît face à quatre cercles qui se croisent en créant trois croix, se réveillant dans une saison plus douce."
 e la mondana cera più a suo modo tempera e suggella,"Et avec une influence bénéfique sur la Terre, l'étoile apporte des bénédictions."
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Les rayons du soleil avaient envahi le purgatoire pendant l'arc de jour, tandis que la Terre s'était plongée dans les ténèbres de la nuit. Une moitié du globe exhibait une blancheur vive et l'autre une foncée intense."
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Quand Béatrice était tournée vers la gauche et qu'elle avait les yeux fixés sur le soleil
 aguglia sì non li s’affisse unquanco,Jamais auparavant un aigle ne l'avait regardé avec autant d'intensité.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Comme une pierre lancée vers le ciel, qui remonte au même angle en utilisant la force réfléchie, ainsi qu'un pèlerin désireux de rentrer chez lui, le rayon s'éloigne du rayon d'incidence et monte toujours plus haut."
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso",Son attitude a stimulé mon esprit d'imagination et j'ai regardé le soleil avec des capacités plus grandes que d'habitude pour un être humain.
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece",". Grâce à la création d'un lieu comme maison de l'espèce humaine, beaucoup de choses qui ne le seraient pas sur Terre sont autorisées en Éden."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Dès que j'ai regardé le soleil, je l'ai vu briller comme un fer rouge à peine tiré du feu, même si je ne pouvais pas le fixer longtemps."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Il semblait que Dieu avait donné au jour une autre lumière, comme si le ciel avait été embelli par un second soleil."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Beatrice avait l'œil pointé sur les roues célestes.
" e io in lei le luci fissi, di là sù rimote",J'ai déplacé mon regard du ciel pour l'observer.
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","Quand je l'ai regardée, je me suis transformé à l'intérieur, tout comme Glaucus quand il a créé l'herbe qui en a fait une divinité marine."
 Trasumanar significar per verba non si poria,Dépasser les frontières identifiées par l'humanité n'est pas facile à décrire en mots.
 però l’essemplo basti a cui esperïenza grazia serba,Ceux qui sont honorés par la grâce divine devraient prendre par exemple la mythologie pour l'expérimenter personnellement.
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","?Si toi, l'amour qui gouverne le Ciel, étais-tu la dernière à créer un seul moi, sauras-tu que tu allumais ma vie avec ta lumière ?"
" Quando la rota che tu sempiterni desiderato, ","Quand la rotation des cieux, que tu gardes immortelle avec la volonté des roues célestes de t'approcher,"
