Original,Translate
"La gloria di colui che tutto move per l’universo penetra, e risplende in una parte più e meno altrove","La puissance de Celui qui déplace toutes choses se répand dans tout l'univers et brille plus dans certaines parties, moins dans d'autres"
" Nel ciel che più de la sua luce prende fu’ io, e vidi cose che ridire né sa né può chi di là sù discende","Je fus dans le Ciel, qui est le plus éclairé par sa lumière, et je vis des choses que celui qui descend de là-haut ne sait ni ne peut rapporter."
" perché appressando sé al suo disire, nostro intelletto si profonda tanto, che dietro la memoria non può ire","En effet, s'approchant de l'objet de son désir, notre intellect s'enfonce tellement profondément que la mémoire ne peut pas le suivre."
" Veramente quant’ io del regno santo ne la mia mente potei far tesoro, sarà ora materia del mio canto","Cependant, le sujet de mon chant sera ce que j'ai pu fixer dans mon esprit du royaume saint."
" O buono Appollo, a l’ultimo lavoro fammi del tuo valor sì fatto vaso, come dimandi a dar l’amato alloro","O bon Apollon, donne-moi ton inspiration pour la dernière chanson, autant que tu en as besoin pour donner l'envieux laurier poétique."
 Infino a qui l’un giogo di Parnaso assai mi fu,"Jusqu'à présent, je n'ai eu qu'un seul sommet du mont Parnaso."
 ma or con amendue m’è uopo intrar ne l’aringo rimaso,Mais je dois m'y mettre avec l'aide de toutes les deux.
" Entra nel petto mio, e spira tue sì come quando Marsïa traesti de la vagina de le membra sue","Entre dans ma poitrine et inspire-moi, comme quand tu as sorti Marsia de l'enveloppe de ses membres."
" O divina virtù, se mi ti presti tanto che l’ombra del beato regno segnata nel mio capo io manifesti, ","Ô vertu divine, si tu me donnes ce qui suffit à ce que j'exprime une trace du royaume des bienheureux gravé dans mon esprit,"
" vedra’mi al piè del tuo diletto legno venire, e coronarmi de le foglie che la materia e tu mi farai degno","tu me verras venir au pied de ton arbre bien-aimé, et me couronner avec ses feuilles dont toi et le haut sujet du poème me rendront dignes."
" Sì rade volte, padre, se ne coglie per trïunfare o cesare o poeta, colpa e vergogna de l’umane voglie, ","Ça arrive si rarement, père, que l'on saisit la laurier pour le triomphe d'un chef ou d'un poète,"
" che parturir letizia in su la lieta delfica deïtà dovria la fronda peneia, quando alcun di sé asseta","que la fronde de Penée devrait faire naître la joie dans la heureuse divinité de Delphes, quand elle est désirée par quelqu'un"
 Poca favilla gran fiamma seconda,Une grande flamme suit une faible étincelle
 forse di retro a me con miglior voci si pregherà perché Cirra risponda,"Peut-être après moi, d'autres, avec de meilleures voix, prieront pour que Cyrrhe réponde."
 Surge ai mortali per diverse foci la lucerna del mondo,La lanterne du monde se lève aux mortels de différents points de l'horizon
" ma da quella che quattro cerchi giugne con tre croci, con miglior corso e con migliore stella esce congiunta, ","mais de ce point où quatre cercles se croisent en formant trois croix, il naît en conjonction avec une saison plus douce"
 e la mondana cera più a suo modo tempera e suggella,et avec une étoile propice et exerce une influence plus bénéfique sur le monde
" Fatto avea di là mane e di qua sera tal foce, e quasi tutto era là bianco quello emisperio, e l’altra parte nera, ","Ce point avait fait le plein jour au purgatoire et nuit sur Terre, et un hémisphère était tout blanc et l'autre noir,"
 quando Beatrice in sul sinistro fianco vidi rivolta e riguardar nel sole,Quand j'ai vu Béatrice tourner à gauche et tenter de regarder le soleil
 aguglia sì non li s’affisse unquanco,Un aigle ne le fixa jamais de cette façon.
" E sì come secondo raggio suole uscir del primo e risalire in suso, pur come pelegrin che tornar vuole, ","Et comme le rayon réflexe est habituellement s'éloigner de celui de l'incidence et monter en haut avec le même angle, comme un pèlerin qui veut retourner dans son pays,"
" così de l’atto suo, per li occhi infuso ne l’imagine mia, il mio si fece, e fissi li occhi al sole oltre nostr’ uso","Ainsi, de son attitude infusée dans ma faculté imaginative naquit le mien, et je fixai le soleil au-delà des capacités humaines normales."
" Molto è licito là, che qui non lece a le nostre virtù, mercé del loco fatto per proprio de l’umana spece","Là-bas, en Éden, beaucoup de choses sont permises qui ne le sont pas sur Terre, grâce à ce lieu créé comme propre à l'espèce humaine."
" Io nol soffersi molto, né sì poco, ch’io nol vedessi sfavillar dintorno, com’ ferro che bogliente esce del foco","Je ne pouvais pas regarder le soleil longtemps, mais je ne pouvais pas le voir s'éblouir tout autour, comme un fer brûlant qui venait de sortir du feu."
" e di sùbito parve giorno a giorno essere aggiunto, come quei che puote avesse il ciel d’un altro sole addorno","Et aussitôt il eut l'air d'en avoir ajouté un autre au jour, comme si Dieu avait orné le ciel d'un second soleil."
 Beatrice tutta ne l’etterne rote fissa con li occhi stava,Béatrice avait les yeux fixés sur les roues célestes.
" e io in lei le luci fissi, di là sù rimote","Et je regardai à mon tour sur elle, et je le détournai du ciel."
" Nel suo aspetto tal dentro mi fei, qual si fé Glauco nel gustar de l’erba che ’l fé consorto in mar de li altri dèi","En la regardant, je suis devenu tel qu'il est devenu Glaucus quand il a mangé l'herbe, qui l'a transformé en divinité marine."
 Trasumanar significar per verba non si poria,S'élever au-delà des limites de l'homme ne peut s'expliquer par des mots
 però l’essemplo basti a cui esperïenza grazia serba,C'est pourquoi l'exemple mythologique suffit à ceux à qui la grâce divine réserve l'expérience directe.
" S’i’ era sol di me quel che creasti novellamente, amor che ’l ciel governi, tu ’l sai, che col tuo lume mi levasti","Si je n'étais que ce que toi, l'amour qui gouverne le Ciel, tu as créé en dernier, tu sais que tu m'as soulevé de ta lumière."
" Quando la rota che tu sempiterni desiderato, ","Quand le mouvement rotatoire des Cieux, que tu rends éternel avec le désir des roues célestes de s'approcher de toi,"
" a sé mi fece atteso con l’armonia che temperi e discerni, ","J'ai attiré mon attention avec l'harmonie que tu as régnée et établie,"
" parvemi tanto allor del cielo acceso de la fiamma del sol, che pioggia o fiume lago non fece alcun tanto disteso",le ciel me semblait tellement allumé par la lumière du soleil que la pluie ou le fleuve n'ont jamais créé un si grand lac.
 La novità del suono e ’l grande lume di lor cagion m’accesero un disio mai non sentito di cotanto acume,"La nouveauté du son et la lumière intense brûlèrent en moi le désir d'en connaître la cause, aussi aigu que je ne l'ai jamais ressenti."
" Ond’ ella, che vedea me sì com’ io, a quïetarmi l’animo commosso, pria ch’io a dimandar, la bocca aprio e cominciò","Alors elle, qui lisait dans mon esprit comme moi-même, ouvrit la bouche avant que je lui demande quelque chose pour calmer mon âme troublée, et dit:"
" «Tu stesso ti fai grosso col falso imaginar, sì che non vedi ciò che vedresti se l’avessi scosso","Toi-même, tu te rends incapable de comprendre avec une fausse imagination, de sorte que tu ne vois pas ce que tu verrais si tu étais libéré."
" Tu non se’ in terra, sì come tu credi","Tu n'es pas sur Terre, comme tu le crois."
" ma folgore, fuggendo il proprio sito, non corse come tu ch’ad esso riedi»","mais un éclair, laissant son siège naturel , ne courut pas aussi vite que toi qui retournes à l'endroit qui t'est propre"
" S’io fui del primo dubbio disvestito per le sorrise parolette brevi, dentro ad un nuovo più fu’ inretito e dissi","Si j'ai été libéré du premier doute grâce à ces paroles brèves et souriantes, j'ai été saisi d'un autre doute, et j'ai dit:"
 «Già contento requïevi di grande ammirazion,Ma grande merveille s'est apaisée.
 ma ora ammiro com’ io trascenda questi corpi levi»,"Mais maintenant, je m'étonne de la façon dont je peux monter au-delà de ces corps légers."
" Ond’ ella, appresso d’un pïo sospiro, li occhi drizzò ver’ me con quel sembiante che madre fa sovra figlio deliro, e cominciò","Alors, après un soupir dévoué, elle me regarda avec l'apparence d'une mère qui s'adresse à son fils qui dit des bêtises, et elle commença à me regarder."
" «Le cose tutte quante hanno ordine tra loro, e questo è forma che l’universo a Dio fa simigliante","Toutes les choses créées sont ordonnées entre elles, et c'est là la forme qui rend l'Univers semblable à Dieu."
" Qui veggion l’alte creature l’orma de l’etterno valore, il qual è fine al quale è fatta la toccata norma","Dans cet ordre les créatures rationnelles voient l'empreinte de la vertu divine, qui est le but ultime de tout l'ordre même"
" Ne l’ordine ch’io dico sono accline tutte nature, per diverse sorti, più al principio loro e men vicine","Dans cet ordre que je dis toutes les natures reçoivent leur inclination, de différentes manières, plus ou moins proches de leur principe créateur"
" onde si muovono a diversi porti per lo gran mar de l’essere, e ciascuna con istinto a lei dato che la porti","C'est pourquoi elles tendent à plusieurs objectifs dans l'ampleur de l'Univers, et chacune est poussée par un instinct qui lui est donné."
 Questi ne porta il foco inver’ la luna,Cet instinct porte le feu vers la lune.
 questi ne’ cor mortali è permotore,il bouge les cœurs des êtres irrationnels
 questi la terra in sé stringe e aduna,il serre et rend la terre cohésive
" né pur le creature che son fore d’intelligenza quest’ arco saetta, ma quelle c’hanno intelletto e amore","Cet instinct fait bouger non seulement les créatures sans intelligence, mais aussi celles qui ont une âme rationnelle."
" La provedenza, che cotanto assetta, del suo lume fa ’l ciel sempre quïeto nel qual si volge quel c’ha maggior fretta","La Providence, qui établit tout cela, fait toujours tranquille avec sa lumière le Ciel dans lequel tourne le plus rapide"
" e ora lì, come a sito decreto, cen porta la virtù di quella corda che ciò che scocca drizza in segno lieto","et nous amène là, comme à un site établi, la force de cet instinct naturel qui oriente à la bonne fin chaque être qui bouge"
" Vero è che, come forma non s’accorda molte fïate a l’intenzion de l’arte, perch’ a risponder la materia è sorda, ","Il est vrai que, comme la forme souvent ne correspond pas à l'intention de l'artiste, parce que la matière ne répond pas comme elle le devrait,"
" così da questo corso si diparte talor la creatura, c’ha podere di piegar, così pinta, in altra parte","ainsi parfois la créature rationnelle s'éloigne de ce cours, ayant le pouvoir de plier dans une autre direction, même si bien adressée"
" e sì come veder si può cadere foco di nube, sì l’impeto primo l’atterra torto da falso piacere","et comme on peut voir un éclair qui tombe d'une nuée, ainsi l'instinct naturel peut faire tendre l'homme vers le bas, attiré par le faux plaisir des biens terrestres."
" Non dei più ammirar, se bene stimo, lo tuo salir, se non come d’un rivo se d’alto monte scende giuso ad imo","Ne t'étonne plus, si je juge correctement, parce que tu montes, si ce n'est comme d'un fleuve qui coule de la montagne en aval."
" Maraviglia sarebbe in te se, privo d’impedimento, giù ti fossi assiso, com’ a terra quïete in foco vivo»","Il serait stupéfiant que tu sois resté à terre, comme un feu qui reste calme et qui ne monte pas vers le haut."
 Quinci rivolse inver’ lo cielo il viso,"Après ses paroles, Béatrice regarda vers le ciel."
" O voi che siete in piccioletta barca, desiderosi d’ascoltar, seguiti dietro al mio legno che cantando varca, ","Ou vous les lecteurs qui êtes dans un petit bateau, désireux d'écouter, que vous suivez derrière mon bateau qui chante sur la mer,"
 tornate a riveder li vostri liti,Retournez aux côtes d'où vous êtes partis.
" non vi mettete in pelago, ché forse, perdendo me, rimarreste smarriti","ne vous rendez pas en haute mer, car peut-être, en perdant mon sillage, vous vous perdrez."
 L’acqua ch’io prendo già mai non si corse,L'eau que je parcours n'a jamais été traversée par personne.
" Minerva spira, e conducemi Appollo, e nove Muse mi dimostran l’Orse","Minerva souffle les vents, et Apollo tient le gouvernail, et les neuf Musées me indiquent la bonne direction."
" Voialtri pochi che drizzaste il collo per tempo al pan de li angeli, del quale vivesi qui ma non sen vien satollo, ","Vous, peu nombreux, qui vous avez nourris à temps du pain des anges dont vous vivez ici sur Terre, mais qui ne vous rassasiez jamais,"
" metter potete ben per l’alto sale vostro navigio, servando mio solco dinanzi a l’acqua che ritorna equale","vous pouvez vous déplacer en haute mer avec votre bateau, en suivant mon sillage devant l'eau qui revient comme elle."
" Que’ glorïosi che passaro al Colco non s’ammiraron come voi farete, quando Iasón vider fatto bifolco","Ces glorieux qui arrivèrent dans la Colchidée, quand ils virent Jason devenu paysan, ne furent pas aussi étonnés que vous le ferez."
 La concreata e perpetüa sete del deïforme regno cen portava veloci quasi come ’l ciel vedete,"La soif innée et continue du royaume semblable à Dieu nous conduisait en haut, presque aussi vite que le mouvement des Cieux."
" Beatrice in suso, e io in lei guardava",Béatrice regardait en haut et moi en elle
" e forse in tanto in quanto un quadrel posa e vola e da la noce si dischiava, ","et peut-être en même temps qu'une flèche est jetée par la corde, vole et arrive à la cible,"
 giunto mi vidi ove mirabil cosa mi torse il viso a sé,J'arrivais là où un spectacle merveilleux attira mon regard.
" e però quella cui non potea mia cura essere ascosa, volta ver’ me, sì lieta come bella, ","et donc celle à qui aucune de mes pensées ne pouvait être cachée, adressée à moi, aussi heureuse qu'elle était,"
" «Drizza la mente in Dio grata», mi disse, «che n’ha congiunti con la prima stella»","""Retourne ton esprit et exprime ta gratitude à Dieu, m'a-t-il dit, ""qui nous a conduits à la première étoile."""
" Parev’ a me che nube ne coprisse lucida, spessa, solida e pulita, quasi adamante che lo sol ferisse","J'avais l'impression qu'il nous couvrait d'un nuage lumineux, épais, solide et terreux, semblable à un diamant éclairé par le soleil."
" Per entro sé l’etterna margarita ne ricevette, com’ acqua recepe raggio di luce permanendo unita","Le joyau éternel nous reçut en lui, comme l'eau reçoit le rayon du soleil, et demeure unie."
" S’io era corpo, e qui non si concepe com’ una dimensione altra patio, ","Si j'avais un corps solide, et qu'on ne voit pas comment une dimension pouvait supporter l'autre,"
" ch’esser convien se corpo in corpo repe, ","ce qui doit arriver si un corps pénètre dans un autre corps,"
 accender ne dovria più il disio di veder quella essenza in che si vede come nostra natura e Dio s’unio,il devrait nous allumer encore plus le désir de voir l'essence dans laquelle on voit le mystère de l'incarnation du divin.
" Lì si vedrà ciò che tenem per fede, non dimostrato, ma fia per sé noto a guisa del ver primo che l’uom crede","Là, nous verrons ce que nous croyons par la foi, qui n'est pas prouvé rationnellement, mais qui est connu comme les vérités auxquelles l'homme croit."
 Io rispuosi,J'ai répondu:
" «Madonna, sì devoto com’ esser posso più, ringrazio lui lo qual dal mortal mondo m’ha remoto","Ma dame, tant dévoué qu'on ne peut être plus, je remercie Dieu qui m'a séparé du monde mortel."
 Ma ditemi,Dites-moi.
" che son li segni bui di questo corpo, che là giuso in terra fan di Cain favoleggiare altrui?»","Quels sont les signes obscurs de cette étoile, qui, là-bas, en Terre, incitent quelques-uns à conte de fées de Caïn?"
" Ella sorrise alquanto, e poi «S’elli erra l’oppinïon», mi disse, ","Elle souriait un peu, et puis, si l'opinion des hommes est dans l'erreur, elle m'a dit:"
" «d’i mortali dove chiave di senso non diserra, certo non ti dovrien punger li strali d’ammirazione omai, ","dans ce domaine où les sens ne fournissent pas d'explications appropriées, vous ne devriez certainement pas vous étonner maintenant,"
 poi dietro ai sensi vedi che la ragione ha corte l’ali,parce que vous voyez que la raison ne peut pas toujours suivre sens
 Ma dimmi quel che tu da te ne pensi»,Mais dis-moi ce que tu penses à ce sujet.
 E io,Et moi
 «Ciò che n’appar qua sù diverso credo che fanno i corpi rari e densi»,- Je crois que les différences de luminosité des astres sont dues à la densité différente du corps stellaire
 Ed ella,Et vous
" «Certo assai vedrai sommerso nel falso il creder tuo, se bene ascolti l’argomentar ch’io li farò avverso","Bien sûr, tu verras que ta pensée est totalement erronée, si tu écoutes attentivement les arguments avec lesquels je vais le réfuter."
" La spera ottava vi dimostra molti lumi, li quali e nel quale e nel quanto notar si posson di diversi volti","Le huitième ciel vous montre beaucoup d'étoiles, qui apparaissent différentes en quantité et en qualité."
" Se raro e denso ciò facesser tanto, una sola virtù sarebbe in tutti, più e men distributa e altrettanto","Si cela n'était causé que par la densité différente, alors dans tous serait présente la même vertu, distribuée dans une plus grande mesure, inférieure ou égale"
" Virtù diverse esser convegnon frutti di princìpi formali, e quei, for ch’uno, seguiterieno a tua ragion distrutti","Au lieu de cela, il est nécessaire que des vertus différentes soient le produit de différents principes formels, qui selon votre raisonnement seraient réduits à un seul"
" Ancor, se raro fosse di quel bruno cagion che tu dimandi, o d’oltre in parte fora di sua materia sì digiuno esto pianeto, ","En outre, si la raison pour laquelle vous cherchez la luminosité différente était la moindre densité, alors cette planète serait sans masse d'un côté à l'autre,"
" o, sì come comparte lo grasso e ’l magro un corpo, così questo nel suo volume cangerebbe carte","ou, comme un corps distribue de façon inégale la graisse et le maigre, de même la Lune aurait une différence de masse à l'intérieur"
" Se ’l primo fosse, fora manifesto ne l’eclissi del sol, per trasparere lo lume come in altro raro ingesto","Si la première hypothèse était vraie, cela se verrait pendant les éclipses de soleil, car la lumière du soleil transparaîtrait comme elle le fait lorsqu'elle est introduite dans un autre corps diaphane."
 Questo non è,Ça n'arrive pas.
 però è da vedere de l’altro,donc il reste à vérifier l'autre hypothèse
" e s’elli avvien ch’io l’altro cassi, falsificato fia lo tuo parere","Et si je réfute cela aussi, alors ton opinion sera fausse."
" S’elli è che questo raro non trapassi, esser conviene un termine da onde lo suo contrario più passar non lassi","Si la Lune est raréfiée, mais pas de part à part, il faut qu'il y ait un point au-delà duquel se trouve la masse solide."
 e indi l’altrui raggio si rifonde così come color torna per vetro lo qual di retro a sé piombo nasconde,"De là, le rayon du soleil se reflète comme la lumière est reflétée par un miroir."
" Or dirai tu ch’el si dimostra tetro ivi lo raggio più che in altre parti, per esser lì refratto più a retro","Maintenant, tu diras que le rayon dans ce point le plus rare est moins lumineux, car il est reflété plus profondément."
" Da questa instanza può deliberarti esperïenza, se già mai la provi, ch’esser suol fonte ai rivi di vostr’ arti","De cette objection peut vous libérer l'expérience, si vous voulez la faire, qui consume être le principe de toute votre connaissance."
 Tre specchi prenderai,Tu vas prendre trois miroirs.
" e i due rimovi da te d’un modo, e l’altro, più rimosso, tr’ambo li primi li occhi tuoi ritrovi","et tu en mettras deux à même distance de toi, et le troisième plus loin et placé au centre des deux autres."
" Rivolto ad essi, fa che dopo il dosso ti stea un lume che i tre specchi accenda e torni a te da tutti ripercosso","Tourné vers eux, fais que derrière tes épaules soit une lumière qui se reflète de la même façon dans les trois miroirs et que tu puisses le voir dans les trois."
" Ben che nel quanto tanto non si stenda la vista più lontana, lì vedrai come convien ch’igualmente risplenda","Bien que le miroir le plus éloigné reflète la lumière avec moins de taille, vous verrez qu'en elle la lumière brille avec la même luminosité des deux autres"
" Or, come ai colpi de li caldi rai de la neve riman nudo il suggetto e dal colore e dal freddo primai, ","Or, comme aux rayons chauds du soleil, la neige fond et se transforme en eau, dépourvue de la couleur et du froid de la neige elle-même,"
" così rimaso te ne l’intelletto voglio informar di luce sì vivace, che ti tremolerà nel suo aspetto","Alors je veux donner une nouvelle forme à ton intelligence qui est dépouillée de l'erreur, en t'éclairant avec une lumière si intense qu'à son aspect il te semblera tremblant comme celle d'une étoile."
 Dentro dal ciel de la divina pace si gira un corpo ne la cui virtute l’esser di tutto suo contento giace,Dans le Ciel de la paix divine tourne un autre dans la vertu duquel repose l'essence de tout son contenu
" Lo ciel seguente, c’ha tante vedute, quell’ esser parte per diverse essenze, da lui distratte e da lui contenute","Le Ciel suivant, qui a tant d'étoiles, divise cette essence entre toutes les astres, distingués de lui et en lui enfermés"
 Li altri giron per varie differenze le distinzion che dentro da sé hanno dispongono a lor fini e lor semenze,"Les autres Cieux disposent des vertus distinctes qu'ils ont en eux-mêmes de différentes manières, afin de déverser sur la Terre leurs influences et les fins voulues."
" Questi organi del mondo così vanno, come tu vedi omai, di grado in grado, che di sù prendono e di sotto fanno","Ces organes de l'Univers avancent comme vous avez compris de Ciel au Ciel, de sorte qu'ils reçoivent une influence d'en haut et le réverbèrent vers le bas"
" Riguarda bene omai sì com’ io vado per questo loco al vero che disiri, sì che poi sappi sol tener lo guado","Regarde bien la façon dont je me dirige vers la vérité que tu désires, pour que tu puisses arriver à la conclusion par toi-même."
" Lo moto e la virtù d’i santi giri, come dal fabbro l’arte del martello, da’ beati motor convien che spiri","Le mouvement et la vertu des roues célestes doivent procéder des intelligences angéliques, comme l'art du marteau vient du forgeron"
" e ’l ciel cui tanti lumi fanno bello, de la mente profonda che lui volve prende l’image e fassene suggello",et le Ciel orné de tant d'étoiles prend l'empreinte dont il se fait cacheter par l'esprit profond qui le fait tourner
" E come l’alma dentro a vostra polve per differenti membra e conformate a diverse potenze si risolve, ","Et comme l'âme humaine à l'intérieur de votre corps met en place différentes puissances à travers des membres différents et autrement formés,"
" così l’intelligenza sua bontate multiplicata per le stelle spiega, girando sé sovra sua unitate","ainsi l'intelligence angélique déploie sa bonté multipliée par les différentes étoiles, tournant tout en restant unie"
