Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","Mon esprit s'est emparé du vaisseau de l'ingéniosité, se dirigeant vers de meilleures eaux, laissant derrière lui l'horrible océan de l'Enfer."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,et j'entendrai de la domination suivante dans laquelle l'âme humaine est purifiée et considérée comme digne d'ascensionner au paradis.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Soyez saints, faites-moi ressusciter la poésie, car je suis consacré à vous."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","Calliope éleva sa voix, accompagnant mon chant d'un son si fort que les gazes malveillantes craignirent de ne plus être pardonnées."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Une lueur bleue chaude, qui se répandait dans l'atmosphère claire jusqu'à l'horizon, comme un précieux saphir oriental."
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Dès que je suis sorti de l'air étouffant, j'ai senti une joie renouvelée m'envahir les yeux et le cœur."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","L'illumination joyeuse de la belle planète qui inspirait l'amour éblouissait tout l'Orient, obscurcissant la constellation des Poissons qui l'accompagnait par son éclat."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Après avoir tourné à droite, j'ai remarqué le ciel mourant avec quatre illuminations que personne d'autre que nos ancêtres les plus anciens n'avait jamais pu voir."
 Goder pareva ’l ciel di lor fiammelle,Le ciel semblait récompensé par la réverbération de leurs couleurs.
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","Ô hémisphère nord, tu ne peux pas contempler ces étoiles."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Dès que j'eus retiré mes yeux d'eux, en déplaçant mon attention vers le nord, où l'Ourse Majeur avait quitté le ciel."
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo",J'ai regardé à côté de moi un ancien solitaire qui suscitait autant de révérence que l'affection qu'un fils porte à son père.
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Il avait une barbe longue et espiègle, avec des poils blancs et noirs comme sa chevelure. Deux tresses qui descendaient sur sa poitrine étaient attachées depuis le temple."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","L'éclat des quatre étoiles saintes resplendit sur son visage, au point qu'il semblait avoir devant le soleil."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","D'où venez-vous, pour avoir réussi à échapper à la prison infinie en traversant le cours souterrain de la rivière ?"
" diss’ el, movendo quelle oneste piume","Par un geste solennel, il nous exhorta à suivre ses paroles."
