Original,Translate
"Per correr miglior acque alza le vele omai la navicella del mio ingegno, che lascia dietro a sé mar sì crudele","La nacelle de mon ingéniosité, maintenant, lève les voiles pour parcourir de meilleures eaux, et laisse derrière elle la mer cruelle de l'Enfer."
 e canterò di quel secondo regno dove l’umano spirito si purga e di salire al ciel diventa degno,Et je chanterai de ce second royaume où l'âme humaine se purifie et où elle est digne de monter au ciel.
" Ma qui la morta poesì resurga, o sante Muse, poi che vostro sono","Mais ici, la poésie morte ressuscite, ô sainte Muse, car je suis consacré à vous."
" e qui Calïopè alquanto surga, seguitando il mio canto con quel suono di cui le Piche misere sentiro lo colpo tal, che disperar perdono","C'est là que Calliope se leva, et qu'il assista à mon chant avec ce son dont les petites gazes entendirent un tel coup qu'elles désespérèrent d'être pardonnées."
" Dolce color d’orïental zaffiro, che s’accoglieva nel sereno aspetto del mezzo, puro infino al primo giro, ","Une douce couleur de saphir oriental, qui se rassemblait dans l'aspect serein de l'air pur jusqu'à l'horizon,"
" a li occhi miei ricominciò diletto, tosto ch’io usci’ fuor de l’aura morta che m’avea contristati li occhi e ’l petto","Il rendit joie à mes yeux dès que je sortis de l'air mort, qui m'avait attristé les yeux et le cœur."
" Lo bel pianeto che d’amar conforta faceva tutto rider l’orïente, velando i Pesci ch’erano in sua scorta","La belle planète qui pousse à aimer illuminait joyeusement tout l'Orient, assombrissant par sa lumière la constellation des Poissons qui le suivait."
" I’ mi volsi a man destra, e puosi mente a l’altro polo, e vidi quattro stelle non viste mai fuor ch’a la prima gente","Je me suis tourné vers ma droite, et j'ai observé le ciel austral, en voyant quatre étoiles que personne n'a vues, à l'exception des premiers ancêtres."
 Goder pareva ’l ciel di lor fiammelle,Le ciel semblait jouir de leur lumière
" oh settentrïonal vedovo sito, poi che privato se’ di mirar quelle","ou hémisphère boréal, tu es vraiment désolé de ne pas pouvoir admirer ces étoiles."
" Com’ io da loro sguardo fui partito, un poco me volgendo a l ’altro polo, là onde ’l Carro già era sparito, ","Dès que j'eus détourné mon regard d'elles, en me tournant un peu vers le ciel boréal d'où l'Ourse Majeur était maintenant couchée,"
" vidi presso di me un veglio solo, degno di tanta reverenza in vista, che più non dee a padre alcun figliuolo","J'ai vu à côté de moi un vieil homme solitaire qui, le regardant, inspirait autant de respect qu'un fils doit à son père."
" Lunga la barba e di pel bianco mista portava, a’ suoi capelli simigliante, de’ quai cadeva al petto doppia lista","Il portait une longue barbe, avec des poils blancs et noirs, semblables à ses cheveux, dont deux longues tresses retombaient sur sa poitrine."
" Li raggi de le quattro luci sante fregiavan sì la sua faccia di lume, ch’i’ ’l vedea come ’l sol fosse davante","La lumière des quatre étoiles saintes illuminait son visage, au point que je le voyais comme s'il avait eu le soleil devant lui."
" «Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna?», ","Qui êtes-vous, qui, en remontant le fleuve souterrain, avez-vous fui la prison éternelle?"
" diss’ el, movendo quelle oneste piume","Il nous dit, en bougeant cette barbe digne"
" «Chi v’ha guidati, o che vi fu lucerna, uscendo fuor de la profonda notte che sempre nera fa la valle inferna? ","Qui vous a guidés et que vous a montré la route, en sortant de la nuit profonde qui rend toujours sombre le gouffre de l'enfer?"
 Son le leggi d’abisso così rotte? ,Les lois de l'abîme sont - elles sans valeur?
" o è mutato in ciel novo consiglio, che, dannati, venite a le mie grotte?»","ou une nouvelle loi a-t-elle été promulguée au Ciel en vertu de laquelle vous, damnés, venez aux rochers que je garde?"
" Lo duca mio allor mi diè di piglio, e con parole e con mani e con cenni reverenti mi fé le gambe e ’l ciglio","Alors mon maître m'a saisi, et, par ses paroles, par mes mains et par mes gestes, il m'a poussé à m'agenouiller et à baisser mes yeux."
 Poscia rispuose lui,Puis il lui répondit:
 «Da me non venni,Je ne suis pas venu ici de ma propre initiative.
" donna scese del ciel, per li cui prieghi de la mia compagnia costui sovvenni","Une femme descendit du Ciel, pour laquelle j'ai aidé cet homme par mes prières."
" Ma da ch’è tuo voler che più si spieghi di nostra condizion com’ ell’ è vera, esser non puote il mio che a te si nieghi","Mais parce que ton désir est que nous t'expliquions avec plus de détails notre condition, il n'est pas possible que mon désir soit différent du tien."
 Questi non vide mai l’ultima sera,Il n'est jamais mort.
" ma per la sua follia le fu sì presso, che molto poco tempo a volger era","Mais à cause de son péché, il était si près de l'être qu'il n'y aurait pas si longtemps."
" Sì com’ io dissi, fui mandato ad esso per lui campare","Comme je te l'ai dit, on m'a envoyé le secourir."
 e non lì era altra via che questa per la quale i’ mi son messo,et il n'y avait pas d'autre chemin que celui par lequel je suis allé avec lui.
 Mostrata ho lui tutta la gente ria,Je lui ai montré tous les damnés.
 e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa,"Maintenant, je veux lui montrer ces âmes qui se purifient sous ta garde."
" Com’ io l’ho tratto, saria lungo a dirti",Ce serait long de t'expliquer comment je l'ai conduit jusqu'ici.
 de l’alto scende virtù che m’aiuta conducerlo a vederti e a udirti,"Une vertu descend du ciel qui m'aide à l'amener ici, pour te voir et t'entendre."
 Or ti piaccia gradir la sua venuta,"Maintenant, s'il te plaît, accueille sa venue."
" libertà va cercando, ch’è sì cara, come sa chi per lei vita rifiuta","va chercher la liberté, qui est très précieuse comme sait qui en son nom renonce à sa vie"
" Tu ’l sai, ché non ti fu per lei amara in Utica la morte, ove lasciasti la vesta ch’al gran dì sarà sì chiara","Tu le sais bien, car pour la liberté tu as affronté la mort à Utica, où tu as laissé le corps que le Jour du Jugement resplendira."
" Non son li editti etterni per noi guasti, ché questi vive e Minòs me non lega","Les édits éternels ne sont pas brisés par nous, car Dante est vivant et Minos n'a aucun pouvoir sur moi."
" ma son del cerchio ove son li occhi casti di Marzia tua, che ’n vista ancor ti priega, o santo petto, che per tua la tegni","Car je viens du cercle où sont les yeux purs de ta femme Martienne, qui, à la voir, semble te prier de la considérer encore comme ta poitrine sainte."
 per lo suo amore adunque a noi ti piega,"au nom de son amour, tourne-toi vers nous."
 Lasciane andar per li tuoi sette regni,Laissez-nous passer par les sept cadres du purgatoire.
" grazie riporterò di te a lei, se d’esser mentovato là giù degni»","Je te remercierai devant elle, si tu acceptes d'être mentionné là-bas."
" «Marzïa piacque tanto a li occhi miei mentre ch’i’ fu’ di là», ","Jusqu'à ce que je sois vivant, Martiens fut si aimé à mes yeux."
" diss’ elli allora, ",Il dit alors:
" «che quante grazie volse da me, fei",qui exauça tous ses désirs
" Or che di là dal mal fiume dimora, più muover non mi può, per quella legge che fatta fu quando me n’usci’ fora","Maintenant qu'il habite au delà du fleuve de l'enfer, il ne peut plus m'émousser, en vertu de cette loi qui a été promulguée quand je suis sorti."
" Ma se donna del ciel ti move e regge, come tu di’, non c’è mestier lusinghe","Mais si une femme bienheureuse, comme tu dis, bouge tes pas, elle n'a pas besoin de flatterie."
 bastisi ben che per lei mi richegge,Il suffit de me prier en son nom.
" Va dunque, e fa che tu costui ricinghe d’un giunco schietto e che li lavi ’l viso, sì ch’ogne sucidume quindi stinghe","Va donc, et fais ceigner les hanches de cet homme avec un jonc lisse, et lave-lui le visage, afin d'enlever toute saleté."
" ché non si converria, l’occhio sorpriso d’alcuna nebbia, andar dinanzi al primo ministro, ch’è di quei di paradiso","En effet, il ne serait pas opportun de se présenter devant le premier ministre du Paradis avec l'œil voilé par un brouillard quelconque."
" Questa isoletta intorno ad imo ad imo, là giù colà dove la batte l’onda, porta di giunchi sovra ’l molle limo","Cette petite île, dans ses parties inférieures, là où elle est battue par les vagues, est pleine de joncs sur la boue molle."
" null’ altra pianta che facesse fronda o indurasse, vi puote aver vita, però ch’a le percosse non seconda","aucune autre plante qui avait des frondes ou un tronc rigide ne peut y croître, car elle ne se plierait pas à l'ardeur des vagues."
 Poscia non sia di qua vostra reddita,Puis votre retour n'est pas par là.
" lo sol vi mosterrà, che surge omai, prendere il monte a più lieve salita»","le soleil, qui se lève maintenant, vous indiquera la direction où trouver un accès facile à la montagne..."
 Così sparì,C'est comme ça qu'il s'est envolé.
" e io sù mi levai sanza parlare, e tutto mi ritrassi al duca mio, e li occhi a lui drizzai","Et je me levai sans parler, et je me détournai de ma direction, et je lui portai mes regards."
 El cominciò,Il a commencé
" «Figliuol, segui i miei passi","Fils, suis mes pas."
" volgianci in dietro, ché di qua dichina questa pianura a’ suoi termini bassi»","Revenons en arrière, car d'ici la plaine décline doucement vers le point le plus bas..."
" L’alba vinceva l’ora mattutina che fuggia innanzi, sì che di lontano conobbi il tremolar de la marina","La lumière de l'aube gagnait la dernière heure de la nuit qui fuyait devant elle, et je vis de loin le tremble de la surface de la mer."
" Noi andavam per lo solingo piano com’ om che torna a la perduta strada, che ’nfino ad essa li pare ire in vano","Nous allions le long de la plaine solitaire, comme quelqu'un qui retrouve la route perdue, et qui, jusqu'à elle, croyait marcher en vain."
" Quando noi fummo là ’ve la rugiada pugna col sole, per essere in parte dove, ad orezza, poco si dirada, ","Quand nous avons été là où la rosée se bat avec le soleil, car c'est là qu'il y a de l'ombre et qu'elle s'évapore peu,"
 ambo le mani in su l’erbetta sparte soavemente ’l mio maestro pose,"Mon maître posa les deux mains sur l'herbe, à palmiers ouverts."
" ond’ io, che fui accorto di sua arte, porsi ver’ lui le guance lagrimose","Alors moi, qui savais ce qu'il allait faire, se mettre devant lui les joues encore sales de pleurs."
 ivi mi fece tutto discoverto quel color che l’inferno mi nascose,Il m'a découvert la couleur du visage que l'Enfer avait caché.
" Venimmo poi in sul lito diserto, che mai non vide navicar sue acque omo, che di tornar sia poscia esperto","Nous arrivâmes ensuite dans le désert, qui ne vit jamais quelqu'un naviguer, et qui était en mesure de revenir en arrière."
 Quivi mi cinse sì com’ altrui piacque,C'est ici que Virgile m'a ceint comme Caton lui avait dit.
 oh maraviglia,C'est merveilleux.
" ché qual elli scelse l’umile pianta, cotal si rinacque subitamente là onde l’avelse","En effet, après qu'il eut arraché l'humble plante qu'il avait choisie, celle-ci fut aussitôt ressuscitée telle qu'elle était au même point."
 Già era ’l sole a l’orizzonte giunto lo cui meridïan cerchio coverchia Ierusalèm col suo più alto punto,Le soleil était déjà arrivé sur l'horizon dont le méridien surplombe Jérusalem avec son point le plus élevé.
" e la notte, che opposita a lui cerchia, uscia di Gange fuor con le Bilance, che le caggion di man quando soverchia","et la nuit, qui tourne en position opposée à celle du soleil, sortait du Gange en conjonction avec la Balance, alors que ce n'est pas le cas quand sa durée dépasse celle du jour."
" sì che le bianche e le vermiglie guance, là dov’ i’ era, de la bella Aurora per troppa etate divenivan rance","Les joues blanches et rouges de la belle Aurora, là où je me trouvais, devenaient orange au fil du temps."
" Noi eravam lunghesso mare ancora, come gente che pensa a suo cammino, che va col cuore e col corpo dimora","Nous étions encore sur le lido, comme quelqu'un qui pense au chemin qu'il doit faire et est prêt avec le désir, mais hésite avec le corps"
" Ed ecco, qual, sorpreso dal mattino, per li grossi vapor Marte rosseggia giù nel ponente sovra ’l suol marino, ","Et voici, comme quand Mars, obscurci depuis le matin, rougit tempéré par des vapeurs épaisses vers l'ouest à la surface de la mer,"
" cotal m’apparve, s’io ancor lo veggia, un lume per lo mar venir sì ratto, che ’l muover suo nessun volar pareggia",J'ai vu une lumière venant de la mer si vite qu'aucun oiseau ne bouge aussi vite.
" Dal qual com’ io un poco ebbi ritratto l’occhio per domandar lo duca mio, rividil più lucente e maggior fatto","Dès que je détournai un peu le regard d'elle pour demander à mon maître, je la revois plus brillante et plus grande"
" Poi d’ogne lato ad esso m’appario un non sapeva che bianco, e di sotto a poco a poco un altro a lui uscìo","De chaque côté de celle-ci, j'ai eu l'impression de voir un blancheur indéfini, et peu à peu un autre blanc apparut en dessous."
" Lo mio maestro ancor non facea motto, mentre che i primi bianchi apparver ali",Mon maître n'a rien dit jusqu'à ce qu'il paraisse que le premier blanc était des ailes.
" allor che ben conobbe il galeotto, gridò","Quand il a rencontré ce noyard, il m'a crié"
" «Fa, fa che le ginocchia cali","Aller, aller, plier les genoux"
 Ecco l’angel di Dio,Voici l'ange de Dieu
 piega le mani,Fusionner les mains
 omai vedrai di sì fatti officiali,Tu verras des ministres de ce genre.
" Vedi che sdegna li argomenti umani, sì che remo non vuol, né altro velo che l’ali sue, tra liti sì lontani","Voyez comment il refuse les instruments humains, de sorte qu'il ne veut ni rames ni voiles qui ne soient pas ses ailes, même dans des endroits aussi lointains."
" Vedi come l’ha dritte verso ’l cielo, trattando l’aere con l’etterne penne, che non si mutan come mortal pelo»","Voyez comment il les tient droit vers le ciel, en fendant l'air avec des plumes éternelles qui ne tombent pas comme des plumes mortelles."
" Poi, come più e più verso noi venne l’uccel divino, più chiaro appariva","Puis, dès que l'oiseau divin vint plus loin vers nous, il apparut plus clairement."
" per che l’occhio da presso nol sostenne, ma chinail giuso","Alors mes yeux n'ont pas soutenu son regard de près, mais j'ai été obligé de les descendre."
" e quei sen venne a riva con un vasello snelletto e leggero, tanto che l’acqua nulla ne ’nghiottiva","et il vint sur le rivage avec un petit bateau et il lira, au point qu'il ne coulait pas dans l'eau."
