5947	Hoe oud bent u?	377189	Quanti anni ha?
5947	Hoe oud bent u?	388763	Quanti anni avete?
5959	Goedenavond, hoe maakt u het?	382391	Buonasera, come state?
5961	Goedemorgen, hoe maakt u het?	388766	Buongiorno, come state?
5962	Muiriel is nu 20 jaar oud.	565608	Muiriel ha 20 anni adesso.
5962	Muiriel is nu 20 jaar oud.	697531	Muiriel ha 20 anni ora.
5963	Ik weet het niet.	376606	Non so.
5963	Ik weet het niet.	843132	Non lo so.
5966	Ik moet gaan slapen.	4369	Devo andare a dormire.
5968	Gelukkige verjaardag Muiriel!	382902	Buon compleanno, Muiriel!
5969	Vandaag is het 18 juni en het is de verjaardag van Muiriel!	383739	Oggi è il 18 giugno ed è il compleanno di Muiriel!
5970	Wat is dat?	4371	Che cos'è?
5971	Wat doe je?	350954	Che fai?
5972	Laten we iets proberen!	380381	Proviamo a fare qualcosa!
5978	Ik wacht al uren lang.	4547	Aspetto da ore.
5979	Ik was in de bergen.	380464	Ero in montagna.
5983	Ik heb er geen woorden voor.	565603	Sono a corto di parole.
5984	Ik ben zo terug.	375118	Torno subito.
5985	Het wachtwoord is "Muiriel".	4373	La parola d'accesso è "Muiriel".
5989	Ik weet niet of ik tijd heb.	383017	Non so se ho tempo.
330703	Spanjaarden hebben twee achternamen.	375317	Gli spagnoli hanno due cognomi.
330707	Rubén is vader van drie kinderen.	897495	Rubén è il padre di tre bambini.
330707	Rubén is vader van drie kinderen.	897496	Rubén è il padre di tre bambine.
367959	Zit er vlees in dit eten?	367962	Questo cibo contiene carne?
367974	Ik eet geen vlees, geen vis en geen zeevruchten, en ook geen vleesbouillon.	367967	Non mangio né carne, né pesce, niente frutti di mare, né brodo di origine animale.
375820	Dank je, dat is alles.	4424	Grazie, è tutto.
375821	Wat is er gebeurd?	388816	Che cos'è successo?
375832	Welkom!	373298	Benvenuto!
375848	Er zat een kat op de stoel.	382110	Un gatto era seduto sulla sedia.
375852	De stoel is niet dicht bij het raam.	610733	La sedia non è vicina alla finestra.
375858	Maak je geen zorgen over het verleden.	2512149	Non preoccuparti del passato.
375858	Maak je geen zorgen over het verleden.	2512152	Non ti preoccupare del passato.
375863	Waarom ik?	383499	Perché io?
375864	Waarom niet?	383501	Perché no?
375865	Waarom is hij hier?	373743	Perché è qui?
375870	Waarom?	375873	Perché?
375892	Zeg het in het Engels.	383498	Dillo in inglese.
375894	Wat heeft hij gezegd?	383496	Che cos'ha detto?
375909	Vertaal de volgende zinnen in het Japans.	818118	Traduci le seguenti frasi in giapponese.
375909	Vertaal de volgende zinnen in het Japans.	818119	Traducete le seguenti frasi in giapponese.
375909	Vertaal de volgende zinnen in het Japans.	818120	Traduca le seguenti frasi in giapponese.
375911	Het is moeilijk om een gedicht in een andere taal te vertalen.	385165	È difficile tradurre una poesia in un'altra lingua.
375964	Geef me de sleutel van dit kasteel!	1404602	Dammi la chiave di questo castello!
375964	Geef me de sleutel van dit kasteel!	1404603	Datemi la chiave di questo castello!
375964	Geef me de sleutel van dit kasteel!	1404604	Mi dia la chiave di questo castello!
376007	Het kan niet waar zijn.	375241	Non può essere vero.
376067	Wat?	338448	Cosa?
376070	Wat ben je aan het doen?	350953	Che stai facendo?
376070	Wat ben je aan het doen?	350954	Che fai?
376070	Wat ben je aan het doen?	376072	Cosa stai facendo?
376079	Probeer het nog eens.	383502	Prova un'altra volta.
377094	Onze hond begraaft zijn botten in de tuin.	377096	Il nostro cane sotterra le sue ossa in giardino.
377177	Ze zijn met de auto naar Chicago gegaan.	399241	Sono andati a Chicago in macchina.
377177	Ze zijn met de auto naar Chicago gegaan.	2189472	Loro sono andati a Chicago in macchina.
377177	Ze zijn met de auto naar Chicago gegaan.	2189473	Sono andate a Chicago in macchina.
377177	Ze zijn met de auto naar Chicago gegaan.	2189474	Loro sono andate a Chicago in macchina.
377177	Ze zijn met de auto naar Chicago gegaan.	2189475	Sono andate a Chicago in auto.
377177	Ze zijn met de auto naar Chicago gegaan.	2189476	Sono andati a Chicago in auto.
377177	Ze zijn met de auto naar Chicago gegaan.	2189477	Loro sono andate a Chicago in auto.
377177	Ze zijn met de auto naar Chicago gegaan.	2189478	Loro sono andati a Chicago in auto.
377177	Ze zijn met de auto naar Chicago gegaan.	2189479	Loro sono andate a Chicago in automobile.
377177	Ze zijn met de auto naar Chicago gegaan.	2189480	Sono andate a Chicago in automobile.
