353819	Detta är deras hus.	761474	Questa è la loro casa.
372426	Den här boken handlar om Kina.	759908	Questo libro è sulla Cina.
372430	Du bör inte lämna barnet ensamt.	1647373	Non dovresti lasciare solo il bambino.
372471	Han arbetar åtta timmar om dagen.	716980	Lui lavora otto ore al giorno.
372485	Min hund är vit.	714369	Il mio cane è bianco.
372628	Det är varmt idag.	338709	Fa caldo oggi.
375881	Lycka till.	375879	Buona fortuna.
397491	Tack!	382056	Grazie!
401222	Företaget kämpar för sin överlevnad.	1329961	L'azienda sta lottando per sopravvivere.
401242	Först och främst måste du leta upp det i ordboken.	1647203	Prima di tutto devi cercarlo nel dizionario.
401248	Om ni har något problem så fråga mig om hjälp.	1647204	Se avete qualche problema chiedetemi aiuto.
401265	Förklara hur man tar medicinen är du snäll.	759979	Per favore, spiega come si prende la medicina.
401273	Hennes enda önskan var att träffa sin son igen.	1330311	Il suo unico desiderio era di rivedere presto suo figlio.
401276	Jag sov inte igårnatt.	1647355	Ieri notte non ho dormito per niente.
401281	Vi måste följa spelets regler.	759879	Dobbiamo seguire le regole del gioco.
401284	Vet du vad?	760500	Cos'è che sai?
401292	Jag fick slut på pengar när jag var på besök i Indien.	759964	Sono rimasto senza soldi mentre ero in soggiorno in India.
401313	Föraren vred ratten åt höger.	759987	Il conducente svoltò a destra.
401316	Nästa konsert kommer att hållas i juni.	1330045	Il prossimo concerto avrà luogo in giugno.
401339	Vi vann matchen med 10 mot 4	759980	Vincemmo il match per 10 a 4.
401346	Det är säkert att han kommer att lyckas.	759872	È sicuro che lui ce la farà.
401388	Var är den japanska ambassaden?	445212	Dov'è l'ambasciata giapponese?
401400	Där kommer vår lärare.	759912	Ecco il nostro insegnante.
401417	Vi lagrade höet i stallet.	1106808	Ammucchiavamo il fieno nel fienile.
401443	En bra lärare måste vara tålmodig med sina elever.	896791	Un bravo maestro deve essere paziente con i propri allievi.
401461	Oj! Det är billigt!	1330260	Oh! È economico!
401473	Vi hade det väldigt svårt att hitta busshållplatsen.	759967	Trovammo molto difficile trovare la fermata dell'autobus.
401478	Meg pratar för mycket.	398108	Meg parla troppo.
401487	Vi var fattiga, men glada.	759978	Eravamo poveri, ma felici.
401494	Han har ingen stolthet.	759894	Lui è senza orgoglio.
401515	Sammanfatta innehållet i 60 engelska ord.	759968	Riassumi il contenuto in inglese usando 60 parole.
401529	Han svarade inte på mitt brev.	759875	Lui non ha risposto alla mia lettera.
401538	Kom hem tidigt, Bill.	760502	Torna a casa presto, Bill.
401547	Han är lika gammal som jag.	759919	Lui ha la mia età.
401549	De är mina bröder.	1330303	Sono i miei fratelli.
402111	Du ska inte tro att det kommer att bli enkelt.	759923	Non pensare che sia facile.
402146	Jag försökte ge henne en gåta.	761478	Ho provato a porle un indovinello.
402170	Jag växlade yen till dollar.	759981	Ho cambiato gli yen in dollari.
402181	När kommer du att vara tillbaka?	759965	Quando ritornerai?
402185	Vem hon är har jag ingen aning om.	759957	Non ho idea di chi lei sia.
402191	Vad är den bekvämaste vägen till Tokyo station?	761479	Qual è la via più adatta per raggiungere la stazione di Tokyo?
402198	Den här gamla bilen går sönder hela tiden.	761470	Questa vecchia automobile è sempre rotta.
402205	När brukar du vakna på morgonen?	759942	A che ora ti svegli la mattina?
403416	Det är dumt av dig att tro på honom.	1329968	È stupido che tu creda in lui.
403453	Jag kommer inte att glömma bort din vänlighet så länge jag lever.	761480	Non dimenticherò la tua gentilezza finché vivrò.
403498	Jag känner mig inte för att träffa henne nu.	759868	Non me la sento di vederla ora.
403503	Han är ofta förskenad till skolan.	759959	È spesso in ritardo per andare a scuola.
409662	Jag är bäst.	759896	Sono il migliore.
409673	Tack för din förklaring.	382193	Grazie per la tua spiegazione.
409675	Jag pratar inte japanska.	353409	Non parlo giapponese.
409686	Vad skulle världen vara utan kvinnor?	759976	Come sarebbe il mondo senza donne?
409707	Det här gamla bordet används fortfarande.	759962	Questo vecchio tavolo è ancora usato.
409713	Du måste vara på stationen senast klockan fem.	759945	Devi essere in stazione entro le cinque.
409718	Läkaren bad herr Smith om att sluta röka.	759863	Il dottore ha richiesto al signor Smith di smettere di fumare.
409723	Ge mig lite vatten, och det snabbt.	759983	Dammi dell'acqua e velocemente.
409736	Det överraskar mig inte.	376617	Non mi sorprende.
409747	Denna skrivmaskin har använts mycket.	759900	Questa macchina da scrivere è stata usata molto.
409751	Hur är det? Jag har inte sett dig på evigheter!	759947	Come stai? Non ti vedo da una vita!
409754	Klimatet är behagligt.	759913	Il clima è piacevole.
409876	Du kan lita på honom.	1332333	Puoi credergli.
409885	Han är poet.	759977	Lui è un poeta.
410145	Hon kunde inte komma för hon var sjuk.	759974	Lei non potè venire dato che era ammalata.
410161	Vi såg barnet kliva på bussen.	759966	Vedemmo il bambino salire sull'autobus.
415529	Jag förväntar mig en tunnelbanestation här i framtiden.	761468	Mi aspetto che qui in futuro ci sia una stazione della metro.
415581	Det kan inte vara sant.	375241	Non può essere vero.
415613	Vilken typ av sport gillar du?	759859	Quali tipi di sport ti piacciono?
415620	Jag har inga pengar.	373416	Non ho soldi.
415621	Det är en bild som jag gillar väldigt mycket.	1582989	È una foto che mi piace veramente tanto.
415624	De här skorna är en aning för stora.	759961	Queste scarpe sono un po' troppo grandi.
415646	Helen håller alltid sitt rum rent.	759948	Helen tiene la sua stanza sempre pulita.
415647	Solen går upp i öst och ner i väst.	759860	Il sole sorge ad est e tramonta ad ovest.
415650	Jag kännde igen henne stunden jag såg henne.	760503	L'ho riconosciuta appena l'ho vista.
415657	Vi gick på picnic till kullen.	761473	Andammo a fare un picnic sulla collina.
415662	Den här låten påminner mig alltid om mina skoldagar.	896802	Questa canzone mi ricorda sempre i tempi della scuola.
415810	Min mormor blev åttioåtta år gammal.	759884	Mia nonna visse fino a ottantotto anni.
415821	Deras nationalism var en ut av orsakerna till kriget.	759950	Il loro nazionalismo fu una delle cause della guerra.
415846	Jag kanske har lagt den på bordet.	761472	Forse l'ho lasciato sulla tavola.
415861	Kvinnan som sitter där borta är hans nuvarande fru.	1016499	La donna seduta là è la sua attuale moglie.
415864	Jag vill komma ut härifrån!	1330245	Voglio uscire da qui!
415883	Min rygg gör fortfarande ont.	759970	Mi fa ancora male la schiena.
415895	Hur stor är han?	377189	Quanti anni ha?
415898	De stack vid klockan 5, så de borde vara hemma vid 6.	1005868	Sono andati via alle 5, perciò dovrebbero essere a casa per le 6.
416193	Även om jag var trött så försökte jag mitt bästa.	1016498	Sebbene fossi stanco, ho fatto del mio meglio.
416205	Vad ska du ha?	759973	Cosa prendi?
417933	Hon lämnade scenen förra året.	1002535	Ha lasciato le scene l'anno scorso.
419900	Jag vet inte om jag har tid att göra det.	4688	Non so se avrò il tempo di farlo.
421453	Jag avbröt min hotelreservation.	759986	Ho cancellato la mia prenotazione all'hotel.
424805	Det är just den boken som jag har väntat så länge på för att läsa.	760501	Questo è proprio quel libro che ho aspettato a lungo per poterlo leggere.
424813	Han var mer än en kung.	759958	Lui era più di un re.
424835	Jag trodde att han var en doktor.	759889	Pensavo fosse un dottore.
424841	Hon skrek i sin förvåning.	1330309	Scoppiò a piangere per la gioia.
479662	Var såg du henne?	760499	Dove l'hai vista?
483009	Jag ska köpa en bil.	759905	Comprerò una macchina.
490854	Det här halsbandet som tillhör Jane är en gåva från hennes mormor.	761463	Questa collana di Jane è un regalo di sua nonna.
490886	Var snäll mot henne, Bill.	896786	Sii gentile con lei, Bill.
490888	Min fars bil är gjord i Italien.	759982	La macchina di mio padre è italiana.
490958	De gifter sig nästa månad.	759975	Si sposeranno il prossimo mese.
491517	Jack kan engelska.	759971	Jack conosce l'inglese.
491543	Vilken färg är ditt hår?	1329954	Di che colore sono i tuoi capelli?
522481	Jag är arbetslös.	749974	Sono disoccupato.
546958	Det regnade i går.	896794	Ieri ha piovuto.
647288	Han har en plats i parlamentet.	759943	Lui ha un posto in parlamento.
651210	Vi ska ha barn.	759886	Avremo un bambino.
651215	Jag har en bok om fiske.	896792	Ho un libro di pesca.
651220	Det är bara en ursäkt.	758914	Questa è solo una scusa.
651222	Min bror har aldrig bestigit Mt Fuji.	758911	Mio fratello non ha mai scalato il monte Fuji.
651223	Jag är mycket hungrig.	758907	Sono molto affamato.
651232	Jag heter Jack.	4418	Mi chiamo Jack.
652625	Jag visste inte hur jag skulle svara på hans fråga.	758901	Non sapevo come avrei dovuto rispondere alla sua domanda.
653452	Jag älskar min mamma.	651406	Amo mia mamma.
661811	Han är en gentleman.	661815	È un gentiluomo.
661811	Han är en gentleman.	758897	Lui è un gentiluomo.
661829	Jag är från Kyoto.	896797	Sono di Kyoto.
665747	Ge mig en kopp te, är ni snäll.	758895	Datemi una tazza di tè, siate gentili.
665755	Min mor tycker mycket om te.	758892	A mia mamma piace molto il tè.
665778	Isen smälter.	379729	Il ghiaccio si sta sciogliendo.
665785	Beatles bestod av fyra musiker.	758889	I Beatles erano composti da 4 musicisti.
665787	Vill ni ha te eller kaffe?	758887	Volete del tè o del caffè?
665789	Jag bad honom att koka lite te.	758884	Gli chiesi di scaldare un po' di tè.
677002	Han bor i Kyoto.	676995	Abita a Kyoto.
677004	Hon bor i Kyoto.	676995	Abita a Kyoto.
677004	Hon bor i Kyoto.	758881	Lei abita a Kyoto.
704638	Koka lite vatten.	758877	Scalda un po' d'acqua.
704641	Jag orkar inte mer! Jag har inte sovit på tre dagar!	758873	Sono spompo! Non ho dormito per tre giorni!
704642	Det kommer att regna.	616923	Sta per piovere.
704651	Jag arbetar 3 timmar varje söndagsmorgon.	758864	Lavoro tre ore ogni domenica mattina.
742910	Hur gammal är du?	4444	Quanti anni hai?
742912	”Hur gammal är du?” ”Jag är sexton år.”	758861	"Quanti anni hai?" "Ho sedici anni."
751075	Jag heter Hopkins.	465470	Mi chiamo Hopkins.
760504	Det är något med honom som jag inte gillar.	760506	C'è qualcosa in lui che non mi piace.
760507	Skulle du kunna skriva ner länken till den sajten?	1647361	Potresti scrivermi l'indirizzo di quel sito?
760513	Jag minns när Anna berättade att hon blivit kär.	760512	Ricordo quando Anna mi disse di essersi innamorata.
760514	Körd rimmar på skörd.	760515	Guidato fa rima con grano.
760517	Jag anbefaller dig åt Gud.	760516	Ti raccomando a Dio.
760519	Vi bygger landet i gärning och ord.	760518	Costruiamo il paese con atti e parole.
760521	Om du har följt vad jag skrivit tidigare.	760520	Se hai seguito quello che ho scritto in passato.
760523	Hur många studerade på medeltidens universitet?	760522	Quanti studiavano all'università nel Medioevo?
760530	Jag har inte berättat för mormor om städhjälpen.	760531	Non ho detto alla nonna della donna delle pulizie.
760533	Allan har lämnat oss.	760532	Allan ci ha lasciati.
761657	Jag har precis kommit tillbaka från Sverige.	761656	Sono appena tornato dalla Svezia.
761669	Förstår ni vad hon menade?	761668	Avete capito cosa voleva dire?
761671	Vi vill inte vänta längre.	761673	Non vogliamo più aspettare.
761686	Jag tycker inte om honom, men jag gillar henne.	761690	Lui non mi piace, ma lei sì.
761691	Jag måste gå nu.	410975	Devo andare ora.
773381	Har du barn?	1329958	Hai figli?
822653	Vårt skolbibliotek är väldigt litet, men det är nytt.	841629	La nostra biblioteca della scuola è molto piccola, ma è nuova.
841986	Vilken är din gitarr?	373505	Qual è la tua chitarra?
841990	Stillhet är guld.	762943	Il silenzio è d'oro.
842059	Ska du äta hemma eller ute?	614981	Mangi a casa o fuori?
842063	Vem har skrivit denna bok?	374525	Chi ha scritto questo libro?
848537	Hans förklaring var inte tillräcklig.	1329970	La sua spiegazione non era soddisfacente.
849307	Hur vågar du skratta åt mig?	830107	Come ti permetti di ridere di me?
853111	Det här är en present till dig.	612080	Questo è un regalo per te.
869041	Hunden hoppar.	869031	Il cane sta saltando.
869119	Det här är lätt.	869108	È facile.
880461	Jag har lånat en bil.	1329949	Ho preso in prestito una macchina.
880507	Ja, där borta.	1647198	Sì, laggiù.
890895	Jag ringer honom ikväll.	896796	Lo chiamo stasera.
890952	Alla pojkarna sprang iväg.	896798	Tutti i ragazzi sono corsi via.
890990	Tom kan köra gaffeltruck.	1330038	Tom sa manovrare un carrello elevatore.
891025	Du borde inte äta här.	896789	Non dovresti mangiare qui.
891081	Han verkade trivas med sitt liv och sitt arbete.	1647196	Sembrava trovarsi bene con la sua vita e il suo lavoro.
891479	Jag vet bara inte vad jag ska säga.	896785	Non so semplicemente cosa dire.
891483	Jag spelar ofta volleyboll.	978796	Gioco spesso a pallavolo.
891489	”Det brinner!” skrek han.	1104049	"Al fuoco!" gridò.
891883	Jag pratar inte med dig; jag pratar med apan.	1647200	Non sto parlando con te; sto parlando con la scimmia.
891888	Jorden är ingen stjärna, utan en planet.	1647192	La terra non è una stella, bensì un pianeta.
892575	Pojken tömde tallriken på ett ögonblick.	1330252	Il ragazzo svuotò il piatto in un istante.
892645	Strumporna luktar illa.	896788	Le calze hanno un cattivo odore.
892962	Det finns mer än 4000 språk i världen.	1195260	Al mondo ci sono più di 4000 lingue.
892962	Det finns mer än 4000 språk i världen.	1329955	Ci sono più di 4000 lingue nel mondo.
893121	För länge sedan besökte jag Kanada.	1647353	Sono stato in Canada tanto tempo fa.
893150	Hennes hår är långt och vackert.	1329964	I suoi capelli sono lunghi e bellissimi.
893157	Jag måste bege mig nu.	955467	Devo partire ora.
893157	Jag måste bege mig nu.	955468	Devo partire adesso.
893316	Vilka underbara blommor!	1217262	Che fiori meravigliosi!
893630	Det är en present till dig.	896800	È un regalo per te.
895450	Vad jag vill ha nu är en varm kopp kaffe.	625156	Ciò che voglio adesso è una tazza di caffè caldo.
896743	Jag är trött på att äta på restaurang.	1330302	Sono stanco di mangiare al ristorante.
896746	Släpp in lite frisk luft.	896805	Fai entrare un po' d'aria fresca.
898920	Hon har äntligen nått Arktis.	1038438	Ha finalmente raggiunto l'Artico.
910428	Min far är så att säga en vandrande ordbok.	1591770	Mio padre è, per così dire, un vocabolario ambulante.
912741	Hon kom jävligt sent.	1647207	È arrivata dannatamente in ritardo.
912751	Det här är inte min åsikt, bara min översättning!	1329942	Non è la mia opinione, ma solo la mia traduzione.
914338	Han har sålt sin bil, så han tar tåget till kontoret.	1330274	Ha venduto la sua macchina, quindi deve andare al lavoro in treno.
924969	Det är iskallt.	1647195	È gelido.
929913	De flesta slott omges av en vallgrav.	1330049	Molti castelli hanno un fossato che li circonda.
940710	Jag var ung och jag ville leva.	1647384	Ero giovane e volevo vivere.
999085	Han talar perfekt ryska.	375662	Parla perfettamente il russo.
999088	Ryssland blev en andra supermakt.	435544	La Russia è diventata una seconda superpotenza.
999090	Den här författaren är rysk.	791255	Questo scrittore è russo.
999091	Moskva är en rysk stad.	791274	Mosca è una città russa.
999092	Hon talar ryska.	857400	Lei parla russo.
999095	Han talar ryska.	899269	Parla russo.
999096	Han kan också tala ryska.	947586	Sa anche parlare il russo.
1003491	De döpte hunden till Shiro.	1329957	Chiamarono il cane Shiro.
1037726	Detta är min vän Tom.	1647201	Questo è il mio amico Tom.
1048537	I begynnelsen skapade Gud himmel och jord.	610753	In principio Dio creò il cielo e la terra.
1063547	Var är äpplena?	1063535	Dove sono le mele?
1090318	Jag har bröder.	1090317	Ho fratelli.
1125596	Hon frågade var huset låg.	1332338	Chiese dov'era la casa.
1125603	”Vad är det som händer i grottan? Jag är nyfiken.” ”Jag har ingen aning.”	623099	"Cosa sta succedendo nella caverna? Sono curioso." "Non ne ho idea."
1125611	Jag är japan, men du är amerikan.	499921	Io sono giapponese, ma tu sei americano.
1125690	Tom öppnade dörren för Mary.	1125669	Tom aprì la porta a Mary.
1125747	Det var inget sammanträffande.	1125750	Non era una coincidenza.
1125751	Detta är reglerna.	1125742	Ecco le regole.
1125792	Jag har stämt träff med honom klockan tolv.	1125783	Ho un appuntamento con lui a mezzogiorno.
