input|target
We have a break from 10:40 to 11:00.|Abbiamo una pausa dalle 10:40 alle 11.
You ask questions about everything.|Lei fa delle domande riguardo a tutto.
I don't think Tom would be welcomed.|Non penso che Tom sarebbe il benvenuto.
Tom doesn't understand any French.|Tom non capisce per niente il francese.
You should get out once in a while.|Voi dovreste uscire di tanto in tanto.
Tom spent some time in Australia.|Tom ha passato un po' di tempo in Australia.
Did Tom ask for anything in return?|Tom ha chiesto qualcosa in cambio?
Tom and Mary adopted three children.|Tom e Mary adottarono tre bambini.
I'm sorry for having deceived you.|Mi dispiace di avervi ingannati.
Tom said Mary was good at French.|Tom disse che Mary era brava in francese.
Do you have any idea what Tom wants?|Avete idea di cosa vuole Tom?
She advised him to give up smoking.|Gli ha consigliato di smettere di fumare.
This gives me the strength to go on.|Questa mi dà la forza di andare avanti.
His wealth has not made him happy.|La sua ricchezza non l'ha reso felice.
The landscape is unfamiliar to me.|Il paesaggio non mi è familiare.
I think that there is a man there.|Penso che ci sia un uomo là.
She did her best to persuade him.|Ha fatto del suo meglio per convincerlo.
It is used by a great many people.|È usato da moltissima gente.
Tom took everything too seriously.|Tom ha preso tutto troppo seriamente.
Why haven't you cooked dinner yet?|Perché non avete ancora cucinato la cena?
Sorry, we don't accept credit cards.|Spiacenti, non accettiamo carte di credito.
I've got 30 dollars in my wallet.|Ho trenta dollari nel portafoglio.
I went to the hospital to see Tom.|Sono andata all'ospedale a trovare Tom.
Would you like to know who he is?|Vorresti sapere chi è?
Even a child knows right from wrong.|Anche un bambino sa distinguere il giusto dallo sbagliato.
It is easy for us to speak Japanese.|È facile per noi parlare il giapponese.
You're afraid to sleep, aren't you?|Tu hai paura di dormire, vero?
Tom did his best to comfort Mary.|Tom fece del suo meglio per confortare Mary.
Where did you spend your vacation?|Dove avete passato le vacanze?
Tom doesn't usually walk to the gym.|Tom solitamente non va a piedi fino alla palestra.
You shouldn't have paid the bill.|Non avresti dovuto pagare il conto.
I spent the whole day in the park.|Io ho trascorso l'intera giornata al parco.
You don't need to suffer in silence.|Non dovete soffrire in silenzio.
Tom is still in prison, isn't he?|Tom è ancora in galera, vero?
I'd like to learn to play the harp.|Io vorrei imparare a suonare l'arpa.
What are you going to do tonight?|Cosa farai stanotte?
Tom drank some of Mary's whiskey.|Tom bevette un po' del whiskey di Mary.
I'm very pleased with my new house.|Io sono molto soddisfatta della mia nuova casa.
Tom had nothing to drink yesterday.|Tom non aveva nulla da bere ieri.
Tom currently lives in Australia.|Tom attualmente vive in Australia.
Tom doesn't like Mary's boyfriend.|A Tom non piace il fidanzato di Mary.
Tom is in a bad mood this morning.|Tom è di cattivo umore stamattina.
I hate Tom, to tell you the truth.|Odio Tom, a dirvi la verità.
Tom and Mary are in the cafeteria.|Tom e Mary sono al refettorio.
Why don't you call customer service?|Perché non chiamate il servizio clienti?
Tom showed Mary how to make sushi.|Tom ha fatto vedere a Mary come preparare il sushi.
What's important is the experience.|Ciò che è importante è l'esperienza.
I live close to a convenience store.|Vivo vicino a un negozio di generi alimentari.
She didn't buy the ticket after all.|Non ha comprato il biglietto, dopo tutto.
Tom said that he'd think about it.|Tom ha detto che ci avrebbe pensato su.
Tom lived with us for three months.|Tom ha vissuto con noi per tre mesi.
Give me the equivalent in dollars.|Dammi l'equivalente in dollari.
Neither Tom nor Mary has a fever.|Né Tom né Mary hanno la febbre.
Where's the nearest train station?|Dov'è la stazione ferroviaria più vicina?
The zoo was closed on Christmas Day.|Lo zoo era chiuso il giorno di Natale.
I don't want to step on your toes.|Io non voglio pestarle i piedi.
I was going to call Tom back today.|Stavo per richiamare Tom oggi.
She wants a serious relationship.|Vuole una relazione seria.
I used to go to church on Sundays.|Andavo in chiesa la domenica.
Tom didn't understand the question.|Tom non capì la domanda.
Tom threw the gun out the window.|Tom lanciò la pistola fuori dalla finestra.
Are you still living in Australia?|Stai ancora abitando in Australia?
I'd never testify against my wife.|Non testimonierei mai contro mia moglie.
She killed herself by taking poison.|Lei si suicidò con del veleno.
Let me help Tom with his homework.|Lasciami aiutare Tom con i suoi compiti.
Tom said he doesn't hunt anymore.|Tom ha detto che non caccia più.
She helped him overcome his sadness.|Lei l'ha aiutato a superare la sua tristezza.
You should face up to the reality.|Dovresti affrontare la realtà.
Do you know how to use this machine?|Sapete come usare questa macchina?
You're going to be very proud of me.|Sarete molto orgogliosi di me.
Is this a good time to buy a house?|Questo è un buon momento per comprare una casa?
Medicine is a treatment for illness.|La medicina è un trattamento per la malattia.
Don't forget to go see Tom tomorrow.|Non dimenticate di andare a trovare Tom domani.
My students are learning to drive.|Le mie studentesse stanno imparando a guidare.
Tom seems a little uncomfortable.|Tom sembra un po' a disagio.
I'm eating dinner with my husband.|Sto cenando con mio marito.
What are Tom and Mary doing here?|Che cosa stanno facendo Tom e Mary qui?
It's obvious Tom doesn't like Mary.|È ovvio che a Tom non piace Mary.
He showed us his mother's picture.|Ci mostrò la fotografia di sua madre.
What will Tom be doing this summer?|Che cosa farà Tom quest'estate?
You have a tendency to exaggerate.|Hai una tendenza a esagerare.
Tom is still pretty busy, isn't he?|Tom è ancora piuttosto occupato, vero?
Tom goes to a school for the deaf.|Tom va a una scuola per sordi.
I asked Tom to talk to his parents.|Io ho chiesto a Tom di parlare con i suoi genitori.
I don't like driving on icy roads.|A me non piace guidare sulle strade ghiacciate.
She is going to France next week.|Va in Francia la settimana prossima.
I think that I've lost my umbrella.|Penso di avere perso il mio ombrello.
How much time do you spend online?|Quanto tempo passa online?
I don't agree with you completely.|Io non sono completamente d'accordo con te.
I'd like to cook chicken tonight.|Vorrei cucinare pollo stasera.
Tom typed his username and password.|Tom digitò la sua login e la password.
I don't like it when it's raining.|A me non piace quando piove.
You have to change before the party.|Ti devi cambiare prima della festa.
Tom didn't want to talk about Mary.|Tom non voleva parlare di Mary.
Can't you do anything to stop them?|Non potete fare niente per fermarle?
Tom explained how he lost his money.|Tom spiegò come perse tutto il suo denaro.
He read the poem with a loud voice.|Ha letto la poesia ad alta voce.
Life's too short to drink bad wine.|La vita è troppo breve per bere del vino cattivo.
Why did you want to learn French?|Perché volevi imparare il francese?
Tom can't tie his shoes by himself.|Tom non sa allacciarsi le scarpe da solo.
He is capable of teaching Spanish.|È capace di insegnare lo spagnolo.
Don't throw away a good opportunity.|Non butti via una buona opportunità.
I want to be the first to do that.|Io voglio essere la prima a farlo.
I like to listen to classical music.|Mi piace ascoltare la musica classica.
I will always be there to help you.|Io ci sarò sempre per aiutarvi.
The post office is half a mile away.|L'ufficio postale è a mezzo miglio di distanza.
Tom said he didn't have a choice.|Tom ha detto che non aveva scelta.
In any case, it's always my fault.|In ogni caso, è sempre colpa mia.
He is going to New York next week.|Lui andrà a New York la settimana prossima.
Were you with Tom the whole time?|Voi eravate con Tom per tutto il tempo?
What is the acreage of your ranch?|Qual è la superficie del suo ranch?
That child threw a stone at the dog.|Quel bambino ha tirato un sasso al cane.
I have a lot more books than you do.|Io ho molti più libri di voi.
I didn't notice anything suspicious.|Non notai nulla di sospetto.
I don't like living in the country.|Non mi piace abitare in campagna.
Tom seldom laughed at Mary's jokes.|Tom ride raramente delle barzellette di Mary.
I wish something nice would happen.|Io vorrei che capitasse qualcosa di bello.
I wonder what's taking Tom so long.|Mi chiedo come mai Tom ci stia mettendo così tanto.
She goes to a school for the deaf.|Lei va ad una scuola per sordi.
Tom often wears a fake wedding ring.|Tom indossa spesso una fede nuziale falsa.
That's a very interesting theory.|È una teoria molto interessante.
Tom isn't the only one who's tired.|Tom non è il solo ad essere stanco.
What do you think happened to Tom?|Cosa pensa che sia successo a Tom?
